Community,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d
PH01,0,0,0,96470.93111,10808.16659,0
PH02,0,0,0,542100.4459,19807.22972,0
PH03,0,0,0,192354.7195,9680.042191,0
PH04,0,0,0,571445.3049,21045.91757,0
PH05,0,0,0,609115.053,22294.56051,0
PH06,0,0,0,184704.0002,457.3677772,0
PH07,0,0,0,530806.8975,30721.56051,0
PH08,0,0,0,536311.9237,27013.07844,0
PH09,0,0,0,193553.9177,10645.9852,0
PH10,0,0,0,585080.3105,24820.10669,221.0610828
PH11,0,0,0,620619.1573,22832.63775,0
PH12,0,0,0,240819.7263,7170.071389,0
PH13,0,0,0,661534.0256,24457.08921,0
PH14,0,0,0,678850.6889,23733.24656,0
PH15,0,0,0,567835.1933,36781.43826,0
PH16,0,0,0,637788.4745,26096.29103,0
PH17,730.8152129,0,0,588983.9863,22653.08581,0
PH18,0,0,0,212389.0115,15131.58394,0
PH19,0,0,0,164357.9175,13278.64799,0
PH20,0,0,0,552596.1745,17708.24764,0
PH21,0,0,0,648233.3348,26829.37895,0
PH22,140901.7132,0,0,961932.3985,76893.03206,19689.79469
PH24,53657.61134,0,0,733742.3054,52908.86485,3726.622614
WYM01,0,0,0,17534.79225,3914.653454,3354.438517
WYM03,0,0,0,17188.57919,0,0
WYM04,4334.928884,0,0,59197.54291,8307.812915,6056.337933
WYM05,0,0,0,92334.43478,3539.86804,2273.04561
WYM06,0,0,0,12117.21424,2273.04561,0
WYM07,1882.150821,0,0,41029.09431,8099.283359,1926.317549
WYM08,0,0,0,8884.89798,0,0
WYM09,0,0,0,14623.0127,787.6816644,6056.337933
WYM10,0,0,0,787.6816644,353.3291292,0
WYM11,0,0,0,6863.826931,0,0
WYM12,253.293549,0,0,34301.89014,2806.655955,0
WYM13,0,0,0,13111.85481,0,0
WYM14,0,0,0,6559.42188,637.9251243,0
WYM15,0,0,0,35634.12226,11514.72279,4678.686857
WYM16,0,0,0,14961.79899,221.0610828,1755.989963
WYM17,0,0,0,110133.2595,18987.18909,82852.38377
WYM18,4114.66479,0,0,39090.56232,7891.47828,7478.097603
WYM19,32415.96943,0,0,29602.27925,3914.653454,221.0610828
WYM20,0,0,0,31846.39147,1098.638664,0
WYM24,19430.81556,0,0,24638.50742,3354.438517,0
WYM26,12718.92566,0,0,69113.76614,10862.3006,353.3291292
WYM28,0,0,0,3633.082838,0,0
WYM30,0,0,0,7016.722931,0,0
WYM31,0,0,0,674.9587786,99.16102331,0
WYM32,0,0,0,5361.508347,941.4156051,0
WYM34,0,0,0,8412.345192,0,0
WYM35,1426.103383,0,0,38511.50343,6458.372853,787.6816644
WYM36,5212.074645,0,0,27013.07844,5067.332979,1587.873057
WYM37,0,0,0,2942.349589,0,0
WYM38,0,0,0,2537.949228,0,0
WYM40,0,0,0,2806.655955,0,0
WYM41,0,0,0,10484.13765,492.814623,0
WYM42,0,0,0,17534.79225,3170.387105,3170.387105
WYM43,12295.64968,0,334.2931985,29044.767,0,20395.81199
WYM44,224719.7593,2183.859026,964.5194519,307702.2829,52104.50811,16900.78704
BB02,253.293549,0,0,110133.2595,10645.9852,787.6816644
BB04,16925.80657,0,0,68905.09609,9360.879734,3539.86804
BB05,0,0,0,56751.91158,3493.38444,1422.135573
BB06,0,0,0,6559.42188,1138.443906,637.9251243
BB07,253.293549,0,0,14454.01574,674.9587786,2273.04561
BB08,1426.103383,0,0,73936.36031,28488.69999,1098.638664
BB09,0,0,0,5806.874641,0,0
BB11,0,0,0,5509.427505,0,0
BB12,0,0,0,32222.54332,0,0
BB14,0,0,0,37356.92819,0,0
BB15,0,0,0,12447.57709,0,3539.86804
BB16,0,0,0,98001.03385,8884.89798,492.814623
BB17,0,0,0,7787.851729,787.6816644,0
BB18,0,0,0,19104.04928,0,0
BB20,0,0,0,5361.508347,0,1755.989963
BB21,0,0,0,23372.43751,0,221.0610828
BB23,0,0,0,10161.45919,0,0
BB24,0,0,0,85209.77318,4630.404923,0
BB25,0,0,0,49302.59869,1019.616505,0
BB26,0,0,0,42198.23352,0,0
BB33,6300.979262,0,0,60425.54441,22294.56051,12613.20679
BB34,55261.47436,0,334.2931985,222626.8345,79652.3802,23012.38108
BB36,120323.1371,0,0,432830.045,115709.6145,33354.55177
BB37,8244.317181,0,0,32034.39264,9201.84628,1926.317549
BB38,0,0,0,11296.67764,2012.264366,353.3291292
BB39,7167.064008,0,0,45731.72254,21223.69562,5263.200747
BB43,12507.35358,0,0,3773.512494,787.6816644,0
BB44,3672.804842,0,0,31846.39147,7943.360882,353.3291292
BB45,37104.03126,0,0,130376.5258,37356.92819,11296.67764
BB46,8029.303812,0,0,67863.03255,9680.042191,3726.622614
BB47,107054.4063,0,0,496850.3507,172363.1931,26645.84961
BB48,20263.10262,0,0,143195.5401,58584.82875,16671.02958
BB49,42984.38605,0,0,201734.937,76681.3228,21105.15442
BB50,494.2737652,0,0,30534.62424,5956.382312,99.16102331
BB51,0,0,0,9043.184116,353.3291292,0
BB53,29345.22933,0,0,111022.9602,23913.93068,7067.789166
BB54,4114.66479,0,0,55737.06092,7323.865226,1926.317549
BB55,31189.01781,0,0,136079.1678,34301.89014,6660.682124
BB56,121491.2344,0,0,523936.4772,181132.338,52908.86485
BB59,2334.125101,0,0,143195.5401,27749.56105,5460.060625
BB62,6300.979262,0,0,137223.634,28488.69999,10000.63605
BB65,494.2737652,0,0,19455.20933,10322.6277,2806.655955
BB67,89003.86123,0,0,379516.5572,72674.06335,16900.78704
BB68,27085.87176,0,0,79865.18064,13278.64799,1587.873057
BB69,81905.10863,0,0,438453.8001,115485.8482,25913.45089
BB70,122658.9185,3228.974531,0,521191.7121,160140.9506,34872.00465
BB71,116426.439,730.8152129,0,457808.9692,140434.9976,33354.55177
BB72,113305.6277,0,0,356483.2027,109910.986,41029.09431
BB73,25644.5121,0,0,141354.3694,40058.24048,19924.75909
BB74,4114.66479,0,0,27196.94722,4775.452889,3726.622614
BB75,18388.60072,0,0,80078.05788,13111.85481,1587.873057
BB76,13352.87412,0,0,65163.84732,15642.48045,787.6816644
BB77,119544.1739,0,0,595125.4115,145963.3073,20631.89414
BB78,120323.1371,2558.864999,0,535485.6799,112359.3214,24457.08921
BB79,19014.18287,0,0,84351.50555,13780.72223,1926.317549
BB80,13141.6837,0,0,59606.49712,14623.0127,7067.789166
BB81,5212.074645,0,0,70576.83549,16498.99209,11952.48698
BB82,9957.437716,0,0,44156.53956,6106.399863,5657.886392
BB83,3006.231993,0,0,14623.0127,0,0
BB84,17553.26582,0,0,44943.19665,12117.21424,353.3291292
BB85,112915.3055,0,0,360656.4928,100192.5089,16900.78704
BB86,10596.96018,0,0,85639.34706,15984.34235,1755.989963
BB87,13985.71629,0,0,100192.5089,22653.08581,5067.332979
BB89,15458.33826,0,0,123352.0098,34491.78684,18055.84785
BB90,139933.6439,0,0,516804.1589,106805.5871,34618.46337
BB91,22131.23411,0,0,71834.17514,12945.34841,941.4156051
BB92,148830.8081,0,0,283816.2132,74990.5102,11296.67764
BB93,28729.6972,0,0,90816.70734,30161.21686,3539.86804
BB94,11659.72226,0,0,42003.06883,9201.84628,99.16102331
BB97,15458.33826,0,0,100631.5884,39283.84119,16671.02958
BB98,15458.33826,0,0,78377.19874,17361.56887,8726.992748
