community,sbw25.cfu.24h,sbw25.cfu.96h,sbw25.cfu.7d,kt2440.cfu.24h,kt2440.cfu.96h,kt2440.cfu.7d
AE01,22653.08581,10645.9852,5806.874641,21923.95968,6011.335558,7598.634315
AE02,18928.79545,16212.80285,6407.928295,12930.36827,5721.17706,7382.965246
AE03,20336.84905,15528.74984,10000.63605,6950.923083,6011.335558,4774.244306
AE04,21579.85604,54792.11812,5067.332979,15038.13839,12577.89213,4993.336162
AE06,17708.24764,26890.59325,5806.874641,8029.303812,2183.859026,6734.534456
AE07,19631.11269,12834.5048,5067.332979,9530.253536,7454.880374,7598.634315
AE08,16671.02958,7478.097603,6106.399863,7814.078284,6878.821474,5866.322346
AE09,16498.99209,23252.33466,6559.42188,22752.63166,17622.93204,5648.553772
AE10,9201.84628,13724.81206,5657.886392,10170.77525,5139.20007,7598.634315
AE102,7478.097603,5657.886392,5067.332979,5866.322346,6300.979262,7454.880374
AE104,23552.74849,3726.622614,4103.915537,3006.231993,3080.544881,4554.781624
AE105,535485.6799,16441.70007,6660.682124,13985.71629,7167.064008,5139.20007
AE106,2893563.777,145578.4669,44418.54946,100593.7141,9458.988437,5721.17706
AE108,1201750.446,106362.9468,35125.79577,68829.97254,10312.90861,6300.979262
AE109,7323.865226,3170.387105,5067.332979,3228.974531,8029.303812,8888.142128
AE11,14285.28589,30596.91916,5956.382312,7382.965246,14266.63859,4334.928884
AE111,8412.345192,3914.653454,3726.622614,4334.928884,6011.335558,7454.880374
AE112,15813.28632,8307.812915,7632.761904,9530.253536,3672.804842,6300.979262
AE113,17534.79225,9573.49395,10484.13765,8244.317181,3377.153379,6734.534456
AE114,15131.58394,8517.05364,9043.184116,10596.96018,12013.16855,5430.475662
AE115,17534.79225,13278.64799,8099.283359,8459.124327,12577.89213,6950.923083
AE117,48704.94402,17824.01264,7323.865226,27291.54642,5139.20007,5212.074645
AE118,17534.79225,14172.94886,7478.097603,9957.437716,7742.28822,4334.928884
AE119,25548.29504,15756.32314,9680.042191,7814.078284,8888.142128,7814.078284
AE120,22473.72636,7067.789166,6559.42188,17135.05326,6300.979262,3672.804842
AE122,33165.51722,10862.3006,6863.826931,17135.05326,7454.880374,5648.553772
AE123,53513.22223,4294.367171,19983.55903,15458.33826,5430.475662,3228.974531
AE124,23552.74849,5460.060625,7478.097603,7598.634315,3080.544881,8029.303812
AE125,17534.79225,7891.47828,4198.995146,8673.730867,2782.879752,5648.553772
AE127,14961.79899,5460.060625,2806.655955,12507.35358,7167.064008,6950.923083
AE128,16843.30779,8307.812915,6256.918129,9957.437716,5430.475662,4993.336162
AE13,52707.6194,327286.6058,8255.613344,11871.8366,73726.49955,6517.889569
AE130,43371.77549,13278.64799,7787.851729,14407.02318,5139.20007,6950.923083
AE131,33165.51722,22772.76579,6407.928295,11447.46578,3967.581932,3006.231993
AE133,25913.45089,8099.283359,5657.886392,16297.48979,2183.859026,6734.534456
AE134,54118.50517,19689.79469,6711.390716,51449.40309,7742.28822,8673.730867
AE135,24457.08921,14848.7536,2142.117415,17971.11193,5721.17706,6083.793711
AE136,75201.58206,13056.32068,9201.84628,9102.363163,2782.879752,7814.078284
AE137,41029.09431,3354.438517,4056.486921,13141.6837,7742.28822,5866.322346
AE139,79439.65671,19221.00633,9201.84628,23786.91617,3377.153379,3893.965628
AE14,24275.85301,170474.9759,5657.886392,8244.317181,8602.217309,7814.078284
AE143,63303.97341,102537.255,5509.427505,24819.54752,48432.54498,5212.074645
AE144,16671.02958,7684.411542,6711.390716,8244.317181,5721.17706,9316.398776
AE145,16327.19715,14397.74266,3914.653454,10170.77525,8888.142128,7167.064008
AE146,47909.61475,148043.8137,5361.508347,13985.71629,6300.979262,4114.66479
AE147,46719.9721,24215.48157,6407.928295,22545.56939,7742.28822,6083.793711
AE149,190917.0172,27380.98446,8884.89798,13985.71629,10596.96018,4554.781624
AE15,10970.67816,50767.65139,2405.003393,6517.889569,25094.64624,6300.979262
AE150,144809.1995,158582.8979,8884.89798,13985.71629,59663.4254,6517.889569
AE151,73936.36031,134250.733,5214.139736,8244.317181,58330.80482,2108.584595
AE152,230715.9572,23733.24656,6660.682124,44399.19203,6590.133557,7454.880374
AE153,222137.8471,25183.8445,5657.886392,136446.5397,3080.544881,2183.859026
AE154,26645.84961,5856.653297,3726.622614,22131.23411,964.5194519,5430.475662
AE156,137223.634,26890.59325,11952.48698,33845.25981,4554.781624,4847.315232
AE157,349455.7816,11952.48698,44680.76879,78742.93439,4261.554343,2183.859026
AE158,44549.633,5856.653297,7272.551554,15248.2916,2484.035699,4261.554343
AE159,150360.1376,10000.63605,6256.918129,29550.30065,5721.17706,3377.153379
AE16,9520.279867,7067.789166,3914.653454,9957.437716,11164.23114,5866.322346
AE160,91033.31672,10430.2633,3170.387105,8244.317181,4554.781624,6011.335558
AE161,50100.99852,7067.789166,4678.686857,17971.11193,3672.804842,2484.035699
AE162,16498.99209,6660.682124,2806.655955,5430.475662,0,7742.28822
AE163,63097.77281,5460.060625,7067.789166,8888.142128,2183.859026,6878.821474
AE164,72674.06335,6256.918129,5657.886392,14617.50585,4261.554343,3080.544881
AE165,830553.0834,16212.80285,8937.617946,93135.08259,2782.879752,2484.035699
AE166,82424.73409,8937.617946,10215.14385,15038.13839,1578.64366,3377.153379
AE167,23913.93068,5067.332979,9360.879734,9102.363163,3967.581932,4847.315232
AE168,22473.72636,7684.411542,5657.886392,3672.804842,1272.95896,3967.581932
AE169,13948.63677,3539.86804,4103.915537,5212.074645,1578.64366,4554.781624
AE17,16671.02958,29602.27925,8569.473432,28729.6972,12295.64968,5648.553772
AE170,18229.98941,4678.686857,3170.387105,8673.730867,4261.554343,7167.064008
AE171,59401.97236,5067.332979,5856.653297,17553.26582,5430.475662,5139.20007
AE173,86929.81617,6863.826931,8937.617946,17762.2341,2782.879752,5721.17706
AE174,134479.104,15301.62722,7891.47828,11659.72226,2484.035699,2782.879752
AE175,27565.18935,6863.826931,7067.789166,10383.9482,3672.804842,6590.133557
AE176,63716.64734,7891.47828,3914.653454,19014.18287,652.3354368,4261.554343
AE177,22294.56051,4872.485151,4103.915537,8888.142128,334.2931985,8029.303812
AE178,11460.15865,2987.771737,3354.438517,6517.889569,5721.17706,5139.20007
AE18,14623.0127,27872.56779,5067.332979,20886.49021,12295.64968,8459.124327
AE19,55534.38923,107248.4759,6256.918129,8888.142128,37375.10731,3451.152484
AE20,124481.4174,376889.3555,8412.345192,12718.92566,100005.6347,4554.781624
AE21,31658.54044,198762.0199,7016.722931,5430.475662,34117.25097,7814.078284
AE24,7632.761904,20868.34263,3078.896085,7382.965246,17901.49597,4334.928884
AE25,30347.84279,230224.5989,37549.02615,11022.51499,72933.30245,3893.965628
AE28,1068229.44,42328.41128,13445.72534,17344.20594,34660.99459,6083.793711
AE29,80078.05788,18288.0868,7170.071389,9530.253536,7742.28822,6950.923083
