#OTU1	OTU2	corr	type
paucimonas.spp.	escherichia_shigella.spp.	-0.294226739648281	-1
paucimonas.spp.	cedecea.spp.	-0.250282056525354	-1
escherichia_shigella.spp.	cedecea.spp.	0.388513836221062	1
escherichia_shigella.spp.	pseudomonas.rhizosphaerae	0.222974495186692	1
cedecea.spp.	pseudomonas.rhizosphaerae	0.306627536527331	1
pseudomonas.rhizosphaerae	pseudomonas.marincola	0.49827060348929	1
rhizobium.sullae	rhodopseudomonas.spp.	0.197845439951762	1
paucimonas.spp.	klebsiella.pneumoniae	-0.30089687010515	-1
escherichia_shigella.spp.	klebsiella.pneumoniae	0.47533407554204	1
cedecea.spp.	klebsiella.pneumoniae	0.681743578036299	1
pseudomonas.rhizosphaerae	klebsiella.pneumoniae	0.447966729592102	1
pseudomonas.marincola	klebsiella.pneumoniae	0.267429223440479	1
escherichia_shigella.spp.	pseudomonas.vranovensis	0.226776467669656	1
cedecea.spp.	pseudomonas.vranovensis	0.312960173207512	1
pseudomonas.rhizosphaerae	pseudomonas.vranovensis	0.897885812029762	1
pseudomonas.marincola	pseudomonas.vranovensis	0.492528499451838	1
klebsiella.pneumoniae	pseudomonas.vranovensis	0.45091312990063	1
escherichia_shigella.spp.	sphingomonas.faeni	0.205140281749488	1
rhizobium.sullae	sphingomonas.faeni	0.223023322756399	1
sphingomonas.oligophenolica	sphingomonas.faeni	0.220149189253101	1
klebsiella.pneumoniae	sphingomonas.faeni	0.209054783795351	1
caenimonas.spp.	leptothrix.spp.	0.477676916010288	1
paucimonas.spp.	leptothrix.spp.	0.312135398475836	1
escherichia_shigella.spp.	pseudomonas.lutea	0.228281395889127	1
cedecea.spp.	pseudomonas.lutea	0.287711895186375	1
pseudomonas.rhizosphaerae	pseudomonas.lutea	0.761398595752394	1
pseudomonas.marincola	pseudomonas.lutea	0.399960398371208	1
klebsiella.pneumoniae	pseudomonas.lutea	0.400850215121481	1
pseudomonas.vranovensis	pseudomonas.lutea	0.764408233410139	1
paucimonas.spp.	pantoea.agglomerans	-0.325101019284798	-1
escherichia_shigella.spp.	pantoea.agglomerans	0.532480609494285	1
cedecea.spp.	pantoea.agglomerans	0.692742421388678	1
pseudomonas.rhizosphaerae	pantoea.agglomerans	0.412224498865958	1
pseudomonas.marincola	pantoea.agglomerans	0.240260145014851	1
klebsiella.pneumoniae	pantoea.agglomerans	0.940278423332462	1
pseudomonas.vranovensis	pantoea.agglomerans	0.411304897303363	1
sphingomonas.faeni	pantoea.agglomerans	0.218029307085414	1
pseudomonas.lutea	pantoea.agglomerans	0.382785615341471	1
paucimonas.spp.	herbaspirillum.spp.	0.343347252242499	1
escherichia_shigella.spp.	herbaspirillum.spp.	-0.216426615902718	-1
klebsiella.pneumoniae	herbaspirillum.spp.	-0.213247268782166	-1
leptothrix.spp.	herbaspirillum.spp.	0.204962837724518	1
pantoea.agglomerans	herbaspirillum.spp.	-0.236849600839706	-1
paucimonas.spp.	phenylobacterium.spp.	0.210357182753825	1
pseudomonas.rhizosphaerae	phenylobacterium.spp.	-0.211252552153263	-1
sphingomonas.oligophenolica	phenylobacterium.spp.	0.24515392243119	1
klebsiella.pneumoniae	phenylobacterium.spp.	-0.216504465997276	-1
pseudomonas.vranovensis	phenylobacterium.spp.	-0.198292529898101	-1
pseudomonas.lutea	phenylobacterium.spp.	-0.228328531210684	-1
pantoea.agglomerans	phenylobacterium.spp.	-0.226253126414776	-1
herbaspirillum.spp.	phenylobacterium.spp.	0.389240297858331	1
paucimonas.spp.	massilia.timonae	0.295071848240004	1
massilia.spp.	massilia.timonae	0.319386777008799	1
leptothrix.spp.	massilia.timonae	0.261303381980838	1
herbaspirillum.spp.	massilia.timonae	0.374813425554246	1
phenylobacterium.spp.	massilia.timonae	0.331792369454399	1
paucimonas.spp.	stenotrophomonas.maltophilia	0.259059282814247	1
leptothrix.spp.	stenotrophomonas.maltophilia	0.21976930347798	1
herbaspirillum.spp.	stenotrophomonas.maltophilia	0.302092216084231	1
phenylobacterium.spp.	stenotrophomonas.maltophilia	0.411262890428867	1
massilia.timonae	stenotrophomonas.maltophilia	0.262384105802671	1
paucimonas.spp.	acinetobacter.johnsonii	0.301655967007525	1
leptothrix.spp.	acinetobacter.johnsonii	0.26039907290956	1
