OTU1	OTU2	corr	type
escherichia_shigella.spp.	cedecea.spp.	0.37923487280189	NA
cedecea.spp.	pseudomonas.rhizosphaerae	0.312540332718371	NA
pseudomonas.rhizosphaerae	pseudomonas.marincola	0.501741916150707	NA
escherichia_shigella.spp.	klebsiella.pneumoniae	0.477073375675006	NA
cedecea.spp.	klebsiella.pneumoniae	0.680817292019697	NA
pseudomonas.rhizosphaerae	klebsiella.pneumoniae	0.449181586394322	NA
cedecea.spp.	pseudomonas.vranovensis	0.318643195186063	NA
pseudomonas.rhizosphaerae	pseudomonas.vranovensis	0.89576563515888	NA
pseudomonas.marincola	pseudomonas.vranovensis	0.489992787037426	NA
klebsiella.pneumoniae	pseudomonas.vranovensis	0.453268804808426	NA
caenimonas.spp.	leptothrix.spp.	0.484288851414855	NA
paucimonas.spp.	leptothrix.spp.	0.300294208813574	NA
pseudomonas.rhizosphaerae	pseudomonas.lutea	0.776757149698653	NA
pseudomonas.marincola	pseudomonas.lutea	0.411197222110711	NA
klebsiella.pneumoniae	pseudomonas.lutea	0.389278815050137	NA
pseudomonas.vranovensis	pseudomonas.lutea	0.76986449812739	NA
paucimonas.spp.	pantoea.agglomerans	-0.328338671884211	NA
escherichia_shigella.spp.	pantoea.agglomerans	0.534616904607286	NA
cedecea.spp.	pantoea.agglomerans	0.686519576238482	NA
pseudomonas.rhizosphaerae	pantoea.agglomerans	0.413655631159275	NA
klebsiella.pneumoniae	pantoea.agglomerans	0.94042520608826	NA
pseudomonas.vranovensis	pantoea.agglomerans	0.410556754864936	NA
pseudomonas.lutea	pantoea.agglomerans	0.366575108507847	NA
paucimonas.spp.	herbaspirillum.spp.	0.347380823274897	NA
herbaspirillum.spp.	phenylobacterium.spp.	0.386846215381917	NA
massilia.spp.	massilia.timonae	0.324950086364917	NA
herbaspirillum.spp.	massilia.timonae	0.36760835005235	NA
phenylobacterium.spp.	massilia.timonae	0.329077209799514	NA
phenylobacterium.spp.	stenotrophomonas.maltophilia	0.410476715761697	NA
herbaspirillum.spp.	acinetobacter.johnsonii	0.320943499080071	NA
massilia.timonae	acinetobacter.johnsonii	0.319911416826126	NA
pseudomonas.rhizosphaerae	pseudomonas.plecoglossicida	0.517626785655074	NA
pseudomonas.marincola	pseudomonas.plecoglossicida	0.652324058301394	NA
pseudomonas.vranovensis	pseudomonas.plecoglossicida	0.481354490137402	NA
pseudomonas.lutea	pseudomonas.plecoglossicida	0.411641060907567	NA
rhizobium.sullae	rhizobium.spp.	0.476539195307754	NA
escherichia_shigella.spp.	pantoea.vagens	0.525284059769326	NA
pseudomonas.rhizosphaerae	pantoea.vagens	0.322670532051602	NA
klebsiella.pneumoniae	pantoea.vagens	0.531200966305435	NA
pseudomonas.vranovensis	pantoea.vagens	0.333866297919519	NA
pantoea.agglomerans	pantoea.vagens	0.514137892839223	NA
herbaspirillum.spp.	pseudomonas.balearica	0.306557257953249	NA
phenylobacterium.spp.	pseudomonas.balearica	0.324428640856837	NA
paucimonas.spp.	acinetobacter.calcoaceticus	0.317618910299752	NA
herbaspirillum.spp.	acinetobacter.calcoaceticus	0.31122783730552	NA
massilia.timonae	acinetobacter.calcoaceticus	0.347642127326979	NA
acinetobacter.johnsonii	acinetobacter.calcoaceticus	0.69543443145172	NA
pseudomonas.balearica	acinetobacter.calcoaceticus	0.328922381494441	NA
pseudomonas.rhizosphaerae	pseudomonas.tolaasii	0.340039721055186	NA
pseudomonas.marincola	pseudomonas.tolaasii	0.306194602307523	NA
pseudomonas.vranovensis	pseudomonas.tolaasii	0.362930182321534	NA
pseudomonas.plecoglossicida	pseudomonas.tolaasii	0.438942527367615	NA
escherichia_shigella.spp.	pseudomonas.thivervalensis	0.32810046361652	NA
