# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_AbundCum.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	26.3962896712511	26.3962896712511	27.0894368518111	44.2124163600094	69.9999034512716	72.0793449929515	72.0793449929515	72.7724921735114	87.5543354151347	88.2474825956947	94.6836329640641	96.069927325184	96.7630745057439	99.9411283360919	100.634275516652	101.73288780532	175.794890462242
SAC11	159.042126853224	165.497325416564	172.388951313617	193.134401128427	246.174866315747	265.670417262384	266.363564442944	268.155323912172	293.640457717113	297.629441763677	300.33749196478	303.669696474955	307.540897485863	310.431269243759	311.529881532427	318.204442924241	454.851700468584
WP14	346.080302571339	348.026212720395	348.026212720395	379.54274092161	398.48057840545	407.18009315366	407.87324033422	409.664999803448	420.487972978755	420.487972978755	425.22417142715	426.61046578827	429.095372438058	432.678891376514	432.678891376514	433.372038557074	193.483628187302
BB18	458.457127321376	461.789331831551	463.581091300779	478.795188360993	499.531887407019	503.115406345475	504.214018634143	505.600312995263	517.488931410008	518.182078590568	519.973838059796	520.666985240356	522.458744709584	524.250504178812	524.250504178812	526.7354108286	144.708427915508
AE146	550.037519460676	550.730666641236	550.730666641236	553.128561914034	589.837596727571	599.055905269197	599.055905269197	600.847664738425	633.142102864285	633.142102864285	633.835250044845	635.221544405965	635.914691586525	641.549481189694	641.549481189694	642.242628370254	254.860255487516
AE175	658.374390211976	658.374390211976	659.760684573096	663.631885584003	680.961922208937	684.427658111736	684.427658111736	685.120805292296	734.415447243766	734.415447243766	737.188035966006	739.267477507686	739.960624688246	755.98382927156	755.98382927156	759.202705096428	204.943768428424
BB70	819.133535270145	819.133535270145	819.133535270145	825.425104409704	858.008883432501	867.121831458468	877.547855790698	877.547855790698	902.725749805749	902.725749805749	916.915655768744	918.995097310424	920.093709599092	921.480003960212	921.480003960212	923.559445501892	235.010425560098
AE18	939.400338380234	939.400338380234	940.498950668902	957.012123257277	974.923856612475	977.408763262263	979.018201174697	979.711348355257	991.281032154046	992.379644442714	994.171403911942	1009.37355876979	1013.15774840371	1029.46635945009	1029.46635945009	1034.6921061238	192.456074714457
BWd01	1094.27677580813	1094.27677580813	1101.13113031038	1109.51456351162	1143.01246847228	1144.80422794151	1148.20542532317	1157.8291989729	1209.43337304592	1210.53198533459	1215.09633352606	1225.79665237043	1237.61559086454	1244.26198137939	1246.05374084861	1256.58038220989	334.662361590681
BB46	1307.54421870458	1313.67978359566	1320.31310202894	1323.57119856697	1394.50815865781	1411.78592481936	1418.65597823116	1419.34912541172	1432.34554454118	1433.03869172174	1444.49884912117	1446.2906085904	1453.32587718968	1465.22304412631	1465.91619130687	1470.75247321382	394.263327325266
