# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_AbundMax.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	5.75890177387728	0	0.693147180559945	9.62079302159539	3.97029191355212	0.693147180559945	0	0.693147180559945	3.25809653802148	0.693147180559945	2.56494935746154	0.693147180559945	0.693147180559945	1.38629436111989	0.693147180559945	1.09861228866811	175.794890462242
SAC11	8.24538446812075	5.76205138278018	3.71357206670431	6.80903930604298	6.94601399109923	5.35185813347607	0.693147180559945	1.09861228866811	4.92725368515721	1.09861228866811	2.70805020110221	1.94591014905531	2.07944154167984	1.79175946922805	1.09861228866811	2.39789527279837	454.851700468584
WP14	6.84906628263346	1.94591014905531	0	9.55215545300789	4.63472898822964	3.2188758248682	0.693147180559945	1.09861228866811	3.09104245335832	0	4.04305126783455	0.693147180559945	1.09861228866811	1.38629436111989	0	0.693147180559945	193.483628187302
BB18	4.70953020131233	2.63905732961526	1.09861228866811	9.39698590025019	2.94443897916644	1.38629436111989	1.09861228866811	1.38629436111989	3.3322045101752	0.693147180559945	1.09861228866811	0.693147180559945	1.09861228866811	1.09861228866811	0	1.38629436111989	144.708427915508
AE146	5.09375020080676	0.693147180559945	0	2.39789527279837	3.89182029811063	2.99573227355399	0	1.09861228866811	9.67671241498787	0	0.693147180559945	1.38629436111989	0.693147180559945	2.07944154167984	0	0.693147180559945	254.860255487516
AE175	3.2188758248682	0	1.38629436111989	2.484906649788	3.2188758248682	1.38629436111989	0	0.693147180559945	9.4258548961259	0	1.38629436111989	0.693147180559945	0.693147180559945	5.96100533962327	0	1.6094379124341	204.943768428424
BB70	8.81936971001847	0	0	4.49980967033027	6.53524127101366	4.14313472639153	6.92951677076365	0	5.06259503302697	0	5.66296048013595	1.38629436111989	1.09861228866811	0.693147180559945	0	1.38629436111989	235.010425560098
AE18	4.45434729625351	0	1.09861228866811	8.71505995954565	3.13549421592915	1.38629436111989	1.6094379124341	0.693147180559945	3.55534806148941	1.09861228866811	1.09861228866811	7.47022413589997	2.39789527279837	8.821437352167	0	4.12713438504509	192.456074714457
BWd01	7.13489085156588	0	5.75574221358691	3.29583686600433	5.62762111369064	1.09861228866811	3.40119738166216	5.59842195899838	8.38114434695296	1.09861228866811	1.79175946922805	4.62497281328427	4.60517018598809	4.34380542185368	1.09861228866811	7.34858753092759	334.662361590681
BB46	8.22443157322116	5.44241771052179	5.02388052084628	2.56494935746154	6.58479139238572	5.62762111369064	5.77144112313002	0.693147180559945	3.71357206670431	0.693147180559945	6.26720054854136	1.09861228866811	5.64897423816121	4.48863636973214	0.693147180559945	3.04452243772342	394.263327325266
BB97	5.05624580534831	1.09861228866811	0	9.61199824174139	3.13549421592915	1.09861228866811	5.06890420222023	0	6.00388706710654	0	2.07944154167984	0	1.79175946922805	1.09861228866811	0	0.693147180559945	146.784064983123
WiW48	8.06495089174914	1.38629436111989	1.79175946922805	3.73766961828337	2.63905732961526	5.06890420222023	1.09861228866811	1.38629436111989	8.37770121259764	0.693147180559945	2.63905732961526	1.94591014905531	2.56494935746154	2.99573227355399	0.693147180559945	2.83321334405622	262.718835458761
WYT33	8.67897184697886	0	1.38629436111989	2.39789527279837	3.2188758248682	2.39789527279837	0.693147180559945	1.6094379124341	8.25088114470065	5.95842469302978	1.79175946922805	3.2188758248682	0.693147180559945	5.44673737166631	1.94591014905531	0.693147180559945	275.049058158326
