# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_AbundMedian.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	1.242453324894	0	0	0	2.30258509299405	0.693147180559945	0	0	0.693147180559945	0	1.93560050545395	0.693147180559945	0	1.09861228866811	0.346573590279973	0	1
SAC11	3.67750096055263	3.22759928167006	2.07944154167984	2.39789527279837	4.393228339172	4.97701903556701	0	0.346573590279973	2.39789527279837	1.09861228866811	0	1.38629436111989	1.09861228866811	1.09861228866811	0.549306144334055	2.19722457733622	1
WP14	1.242453324894	0.972955074527657	0	5.54517744447956	0.346573590279973	2.39374587139102	0	0.346573590279973	0.693147180559945	0	0.346573590279973	0.693147180559945	0.693147180559945	1.09861228866811	0	0	1
BB18	0.895879734614027	1.6661022550876	0.693147180559945	0.693147180559945	1.497866136777	1.09861228866811	0	0	0.693147180559945	0	0.346573590279973	0	0.693147180559945	0.693147180559945	0	1.09861228866811	1
AE146	1.242453324894	0.346573590279973	0	0	2.802901033148	2.41814095347574	0	0.346573590279973	2.30258509299405	0	0	0	0	1.94591014905531	0	0	1
AE175	1.09861228866811	0	0	0	1.03972077083992	1.03972077083992	0	0	5.4249500174814	0	0.693147180559945	0.693147180559945	0	5.68017260901707	0	1.6094379124341	1
BB70	3.46524738297581	0	0	0	0.895879734614027	2.484906649788	2.39789527279837	0	1.79175946922805	0	4.26347274142946	0.693147180559945	0	0.693147180559945	0	0.693147180559945	1
AE18	0.346573590279973	0	0	1.09861228866811	1.242453324894	0.549306144334055	0	0	0.693147180559945	0	0.346573590279973	6.3456363608286	1.38629436111989	4.77912349311153	0	1.09861228866811	1
BWd01	4.13436591605887	0	1.09861228866811	1.09861228866811	2.2386684072391	0.346573590279973	0	1.6661022550876	4.0943445622221	0	1.38629436111989	4.46590811865458	4.57471097850338	1.6094379124341	0.895879734614027	2.07944154167984	1
BB46	3.02604458446221	3.06778244554087	1.6094379124341	0	5.5713365243089	5.27576637959183	1.09861228866811	0	0.693147180559945	0	2.59647842544511	0.693147180559945	0.693147180559945	4.00733318523247	0.346573590279973	1.09861228866811	1
BB97	1.242453324894	1.09861228866811	0	2.07944154167984	1.35402510055111	0.346573590279973	3.58351893845611	0	1.79175946922805	0	1.35402510055111	0	0	0	0	0	1
WiW48	4.73152136276597	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	4.02279414040176	0	0	5.73009978297357	0	0.549306144334055	1.6094379124341	1.09861228866811	2.63905732961526	0.693147180559945	1.38629436111989	1
WYT33	3.58197334217127	0	1.09861228866811	0	1.86883480914168	0.895879734614027	0	0.346573590279973	4.47733681447821	0.346573590279973	1.35402510055111	2.83321334405622	0	2.39789527279837	1.31952866480763	0.693147180559945	1
