# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_RelAbMax.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	0.0327592102292313	0	0.00394293132603204	0.0547273757291699	0.0225847969933169	0.00394293132603204	0	0.00394293132603204	0.0185335110107837	0.00394293132603204	0.0145905796847517	0.00394293132603204	0.00394293132603204	0.00788586265206408	0.00394293132603204	0.00624939829467953	1
SAC11	0.0181276325000576	0.0126679781054884	0.0081643578838523	0.0149698007043359	0.0152709421201317	0.0117661605485098	0.00152389708523871	0.00241531973506162	0.0108326597000323	0.00241531973506162	0.00595369919099434	0.00427811998295412	0.00457169125571612	0.00393921682030033	0.00241531973506162	0.00527181776022401	1
WP14	0.0353986864253093	0.0100572341302778	0	0.0493693215415668	0.0239541145245787	0.0166364247715686	0.00358245907963304	0.0056780633015864	0.0159757312921899	0	0.0208960897917454	0.00358245907963304	0.0056780633015864	0.00716491815926609	0	0.00358245907963304	1
BB18	0.0325449614037832	0.0182370672367207	0.00759190258987243	0.0649373781168911	0.0203473911062432	0.00957991446033344	0.00759190258987243	0.00957991446033344	0.0230270244668874	0.00478995723016672	0.00759190258987243	0.00478995723016672	0.00759190258987243	0.00759190258987243	0	0.00957991446033344	1
AE146	0.0199864439084982	0.00271971468926781	0	0.00940866698972539	0.0152704088390167	0.0117544113256244	0	0.00431064579514998	0.0379686993426163	0	0.00271971468926781	0.00543942937853563	0.00271971468926781	0.00815914406780344	0	0.00271971468926781	1
AE175	0.0157061414921351	0	0.00676426695844645	0.0121248216954488	0.0157061414921351	0.00676426695844645	0	0.00338213347922322	0.0459923957113038	0	0.00676426695844645	0.00338213347922322	0.00338213347922322	0.0290860531419628	0	0.00785307074606754	1
BB70	0.037527567932356	0	0	0.0191472768052988	0.0278083036335017	0.0176295784177116	0.0294859972881994	0	0.0215420018961343	0	0.0240966351456088	0.00589886324326229	0.00467473851872655	0.00294943162163114	0	0.00589886324326229	1
AE18	0.0231447477189916	0	0.00570837938110343	0.0452833716601359	0.016291999203357	0.00720317279242395	0.00836262463952872	0.00360158639621198	0.0184735559361501	0.00570837938110343	0.00570837938110343	0.0388152161316985	0.0124594418563097	0.0458361076170506	0	0.0214445524318649	1
BWd01	0.0213196692261809	0	0.0171986541487048	0.00984824481109531	0.0168158172521763	0.00328274827036511	0.0101630711188911	0.0167285676596214	0.025043582155808	0.00328274827036511	0.00535393182762369	0.0138198176553268	0.0137606456970521	0.0129796652399367	0.00328274827036511	0.0219582133347744	1
BB46	0.0208602499984383	0.0138040170954876	0.012742449456126	0.00650567572404587	0.016701506166089	0.0142737625430931	0.0146385441483595	0.00175808180096877	0.00941901467706282	0.00175808180096877	0.0158959764050561	0.00278649372773582	0.0143279220932989	0.0113848690929071	0.00175808180096877	0.0077220533250654	1
