# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_RelAbMean.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	0.0107252790867502	0	0.00131431044201068	0.0139147384961567	0.0104779118370179	0.00295719849452403	0	0.00098573283150801	0.00764415807264484	0.00098573283150801	0.00915292582088984	0.00262862088402136	0.00131431044201068	0.00602606409092521	0.00197146566301602	0.00208313276489317	1
SAC11	0.00899967411495481	0.00709593759536354	0.00505045629154335	0.00651560868031706	0.00832931844012934	0.0107153336607032	0.00050796569507957	0.000984804205075083	0.005093594997044	0.0021924640726059	0.00148842479774859	0.00244197138447718	0.00283696935867215	0.00211817885178732	0.00120765986753081	0.00489138282868779	1
WP14	0.0102909628612508	0.00502861706513889	0	0.0232699852374259	0.00699130303731796	0.0112406341943679	0.00119415302654435	0.00231513059530486	0.00508521915532897	0	0.00611963721784461	0.0023883060530887	0.00428099382028416	0.00617368158747963	0	0.00119415302654435	1
BB18	0.0123820849994944	0.0115135122334437	0.00412728660667972	0.015019459947712	0.0102357050680334	0.00619092991001957	0.00253063419662414	0.00239497861508336	0.0074686976274842	0.00119748930754168	0.00309546495500979	0.00159665241005557	0.00412728660667972	0.00412728660667972	0	0.00572393901673529	1
AE146	0.00653078028066301	0.00135985734463391	0	0.00134409528424648	0.0102882809649427	0.00904251285080904	0	0.00175759012110445	0.0115194815520604	0	0.000679928672316953	0.00181314312617854	0.000906571563089271	0.00736977681146686	0	0.000906571563089271	1
AE175	0.00562236515809251	0	0.00225475565281548	0.00269844123627075	0.00603999706073587	0.00422766684902903	0	0.000845533369805806	0.021866149533902	0	0.00338213347922322	0.00338213347922322	0.00112737782640774	0.0260611397721196	0	0.00523538049737836	1
BB70	0.0182152497006659	0	0	0.00382449242080807	0.00990344484418398	0.00969419548542233	0.0147880309386018	0	0.00973956559781821	0	0.0150949749667235	0.00294943162163114	0.00155824617290885	0.0019662877477541	0	0.00294943162163114	1
AE18	0.00587922387033903	0	0.00190279312703448	0.0122574704850561	0.00664780016567171	0.00322788804338185	0.00278754154650957	0.000900396599052994	0.00546508826917543	0.00142709484527586	0.00232749144432885	0.0263300857618265	0.00655420488291121	0.0282464644994578	0	0.00905097727098945	1
BWd01	0.0127174380003933	0	0.00682713413968997	0.00357863163568776	0.00714961636503465	0.00133848295690592	0.00338769037296371	0.00718916642133794	0.0140179748024086	0.000820687067591276	0.00340966651416451	0.0106578251918474	0.0117720025221144	0.00661999602948757	0.00267696591381184	0.0104848374256384	1
BB46	0.00923310331709344	0.00778104944822818	0.0056081963276352	0.00118053678928781	0.012851628263652	0.0109557274060696	0.00580834595869843	0.000439520450242193	0.00299670947371338	0.000439520450242193	0.00726681674731122	0.0015148585095682	0.0059480285650788	0.0100585624818643	0.000879040900484387	0.00408887628459	1
BB97	0.0115371770197586	0.00748454737777176	0	0.0209482408222876	0.00998235272019874	0.0030516927526058	0.0221437193709586	0	0.0111084288914846	0	0.00815397049968012	0	0.00406892367014106	0.00249484912592392	0	0.00157407454421714	1
WiW48	0.0177858258295853	0.00263836119458115	0.00315280864864376	0.00444173189554682	0.00552838089452162	0.0137987697178452	0.00139390118558966	0.00131918059729057	0.0204832323357215	0.000659590298645287	0.00355672025928082	0.00451096708931057	0.00464826670399975	0.0091913566112779	0.00263836119458115	0.00674754309685953	1
WYT33	0.0150281346886359	0	0.00434288457781634	0.00160544993788969	0.0061007087716408	0.00380809769907914	0.000840028545211924	0.00209288581863514	0.0150207467302126	0.00604580499032367	0.00472002784308845	0.0102405785332772	0.000840028545211924	0.0121697771408965	0.00479743022442226	0.00168005709042385	1
BCW04	0.013738629554251	0.0241417816982617	0.00736552712625159	0.0134481982044891	0.00478069673462773	0.0040329796549605	0.0134768929546873	0.000653651325424172	0.00694788200165615	0.00103601283934399	0.00168966416476817	0.0147989821565993	0.00478634274060098	0.00827248314286323	0	0.00680998457628464	1
WYT13	0.0158814500676406	0.00404924057759411	0.00732517011122638	0.00275572584487112	0.00416352995485044	0.00540031032809393	0.00150600945915224	0.00737759871039877	0.0150022253597886	0.00112950709436418	0.00169426064154627	0.00657472452579987	0.00353945333884769	0.0143152232554121	0.00517874767195829	0.0135779887198983	1
AE61	0.013718271187702	0.00306694491111242	0.00522194155631598	0.00551908108012681	0.0057705277574489	0.00807586889815202	0	0	0.0127753849834298	0.00141199417371718	0.00141199417371718	0.00853349880796001	0.00303700591671074	0.00392728883903119	0.00391645616723699	0.00817149436654868	1
PH08	0.010229414557901	0	0.00247860548915171	0.0176823990938829	0.0117852325431673	0.011339873589577	0.00526589349995601	0.00273802738134346	0.00905293366713242	0	0.00443704985235654	0.00247860548915171	0.003437460980657	0.00844498063265103	0.00403777152542899	0.00318524899616844	1
BB80	0.00862618283449368	0	0	0.0104974075403633	0.013812661691281	0.0131918200379277	0.00581725075471752	0.000781193797715701	0.00531423897442932	0.000781193797715701	0.00383323249935888	0.0151235970237008	0.0074041802887273	0.00477565902442992	0.0015623875954314	0.00269247556385471	1
AE102	0.0190880410312399	0	0.00324582979867493	0.0112813809501881	0.00451534236813191	0.00935168371300731	0	0	0.0103067613456233	0.00671496093102707	0	0.0082749619055062	0.00391307942420425	0.00324582979867493	0	0.0109859444828477	1
WYM11	0.0153731750700828	0.00282308284469354	0.00479436862586336	0.00538017062039229	0.00411510251304843	0.0107759968019628	0.0024186239228785	0.00736734459566585	0.00962580876677378	0.000546058761762686	0.00250365894587215	0.010360023017804	0.0164716189035131	0.0138416152413006	0.00109211752352537	0.00430067915267419	1
WEL02	0.00535823424961433	0.0031626960435586	0.00242258620079795	0.00638763505127549	0.00784773998469945	0.00396928257231621	0.00157233335186936	0.00283132512267748	0.00305660994709298	0.00284923536582575	0.0041591139613225	0.00315771362965177	0.000695150758437452	0.00507858719214692	0.00197366083522179	0.00460862727686969	1
WYC32	0.00672534120785041	0.000687122882037713	0.00475361253810179	0.00135596644913534	0.0113216337776858	0.00932952171398951	0	0	0.00361477719681882	0.00191877776478404	0.00661717196929257	0.0040633537138972	0.00622367079230629	0.00948537343630207	0	0.00526832774542746	1
AE25	0.0122614967160501	0.00361324035061381	0.00313700772121918	0.0092333346444183	0.00450760772233314	0.00361324035061381	0.00381790030787696	0.00235275579091438	0.0146847469768334	0.00251115687904078	0.00477237538484621	0.0118010349624745	0.0085714692107027	0.00652734520408558	0.0147292775607017	0.00393995002135558	1
AE96	0.0167216024592638	0.0116933867226204	0.00313865398446479	0.00260389680933105	0.00761811400236085	0.0023539904883486	0.00165821628937191	0	0.0177749050531458	0.000784663496116198	0.00202832571314513	0.00375065227901511	0.00313865398446479	0.00436265057356542	0.00613118886738735	0.0058430882686583	1
BW23	0.0135275273514861	0	0.0074533967255278	0.00345897591389343	0.00389979249161325	0.00816646485190728	0	0.00102998925011779	0.0109711245783322	0.0101506148455807	0.000887184450186651	0.00810870620311892	0.00691153643234673	0.0130548288248236	0.00632498903361335	0.0103567603999461	1
AE11	0.00605065704343701	0.00113382000567862	0.00332006491015822	0.0102555832866444	0.00801520639740771	0.00342662748736742	0	0.00146544109862334	0.0106274564235968	0.000566910002839312	0.00713134003389008	0.00549281863789069	0.00438966346047009	0.0220605266568497	0.00532945258791476	0.00522078048955632	1
WYT41	0.0162046223074837	0.0011040678947741	0.00116660414097807	0.001946290316359	0.00413615701860425	0.007285989715604	0.000736045263182735	0.000552033947387051	0.0139205051274148	0.000874953105733551	0.0014269870531206	0.0116557593606353	0.00345973638941374	0.013973211095656	0.0022081357895482	0.00727519689108019	1
AE40	0.00863608895113352	0.00220104290683604	0.00259905566024629	0.0104037461531323	0.00537433577789185	0.00846573960114157	0.00440208581367209	0	0.0144561418761664	0.000694351729405135	0.00138870345881027	0.0166957230872938	0.00412855207541966	0.00601017256597412	0.00277740691762054	0.00467011170743684	1
BCW21	0.00924433944368701	0.0559285625576789	0.00171040316600084	0.00516375171613216	0.00634041860656214	0.00256560474900126	0.00897607183393681	0.00384840712350188	0.00957105491015142	0	0.00128280237450063	0.00171040316600084	0.00568183633072247	0.00713225292445298	0	0.00442132804522691	1
WYC30	0.00908543062279384	0.00179838544481524	0.0042980962543369	0.00252128017898375	0.00815812771144798	0.00921379457456371	0	0.00285037349187488	0.0171082380980745	0.000899192722407618	0.00179838544481524	0.00479569451950729	0.00398273808971216	0.00619834524892016	0.00179838544481524	0.00854746587309485	1
WYT99	0.0114818319797736	0.00143155580124785	0.00120428153187346	0.00188949916765249	0.0039906554337451	0.00867408516204492	0	0	0.0096801723925319	0.000451605574452548	0.00391170727362482	0.00951940336357362	0.00990940888757896	0.00511329092764615	0.000903211148905096	0.00435276642311294	1
BB38	0.00800842924378177	0.00570676417062603	0	0.0102666490098165	0.0154332729220597	0.00599880136139224	0.0193897437998178	0.00368794284538184	0.00397859029142596	0	0.00384658548311954	0.000951127361771004	0.000951127361771004	0.00475563680885502	0.00226125180272533	0.0031595767048832	1
BB14	0.00746697763595515	0.00426248390553444	0.00712613728534606	0.0046843768350751	0.00793532969000192	0.00330565801456091	0.000695212665506142	0.00203708986861041	0.0129027327445584	0.00186923350189944	0.00269564800553967	0.00278085066202457	0.00278085066202457	0.00739974363295734	0.00495848702184136	0.00548857730091456	1
WYT92	0.0178694027617289	0	0.0014505623657456	0.00715209272282021	0.00627447809046888	0.0143846368856133	0.00183040591191981	0.00137280443393986	0.0196379106534691	0	0.00177432399127913	0.00290112473149121	0.00304023841192716	0.0188703419731563	0.00274560886787971	0.00328096827766541	1
WiW56	0.0137521677726467	0	0.00503711920066395	0.00463089881289707	0.0046160620375196	0.0187036274932636	0.000871268948873798	0.00103569645900578	0.0183396765661725	0	0.00151726788794479	0.00348507579549519	0.00654819589815271	0.00841800724749768	0.00207139291801156	0.00340395246260076	1
AE47	0.0142042397919561	0	0.00239547500192646	0.0075034024686843	0.00533466537165615	0.00325339633370817	0.0028879160407797	0.00150345191985978	0.0094771667579859	0.00496484456193614	0.00129545561149159	0.0101280466320207	0.00724696570618332	0.0128213602132302	0.0035932125028897	0.0054658222336273	1
BW01	0.0143430810405522	0.00709371131305568	0.00484552035677768	0.00423550483207009	0.00493762587169285	0.00458512800659391	0.000711806628603561	0.0115261719913523	0.0149395510966657	0.00298155999638673	0.00213541988581068	0.00805902346651372	0.00709371131305568	0.0149037929999862	0.00106770994290534	0.00828560350417211	1
AE131	0.00933684516373775	0.00613226994743995	0	0.00886580977229833	0.00676726876683665	0.00949616194803672	0.00837560234863417	0	0.012463850159719	0	0.00588852796340531	0.00118174903152742	0	0	0	0	1
BWd03	0.0150246864946146	0.00130561259465474	0.00362953773376583	0.00364998356813071	0.00450233632469338	0.00402776589497911	0.00137956466866467	0.0145519516572988	0.0184458132327702	0.00234028609615324	0.000652806297327368	0.00312038146153765	0.00520267463326559	0.00537035452663882	0.00206934700299701	0.0149544670760683	1
WYT36	0.0153015300936368	0.00136648236499091	0.00484821392627551	0.00510549654388802	0.00540413559317733	0.00244939401819459	0.00273296472998182	0.00601754759160381	0.0158091782062125	0.000683241182495456	0	0.00838079334860899	0.00491233777644028	0.0100786228503386	0.00273296472998182	0.00529043205882326	1
WYT53	0.0153277276719802	0.00224364417094519	0.00373940695157532	0.00984575466422671	0.00458889977261345	0.00942446207016138	0.000747881390315063	0.0121810178846862	0.0123010285891545	0.000560911042736297	0.00112182208547259	0.00742590758344895	0.00934242446129456	0.0100206710608019	0.00177804593795487	0.00224364417094519	1
