# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_RelAbMedian.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	0.0070676304733718	0	0	0	0.0130981343481573	0.00394293132603204	0	0	0.00394293132603204	0	0.0110105617994038	0.00394293132603204	0	0.00624939829467953	0.00197146566301602	0	-1.40254795547043
SAC11	0.00808505488000617	0.00709593759536354	0.00457169125571612	0.00527181776022401	0.00965859495445688	0.0109420697568894	0	0.000761948542619354	0.00527181776022401	0.00241531973506162	0	0.00304779417047742	0.00241531973506162	0.00241531973506162	0.00120765986753081	0.00483063947012325	2.43316358416353
WP14	0.00642149073042625	0.00502861706513889	0	0.0286596726370644	0.00179122953981652	0.0123718264631349	0	0.00179122953981652	0.00358245907963304	0	0.00179122953981652	0.00358245907963304	0.00358245907963304	0.0056780633015864	0	0	-1.15941145788046
BB18	0.00619092991001957	0.0115135122334437	0.00478995723016672	0.00478995723016672	0.0103509253631832	0.00759190258987243	0	0	0.00478995723016672	0	0.00239497861508336	0	0.00478995723016672	0.00478995723016672	0	0.00759190258987243	-1.82983981448007
AE146	0.0048750375868428	0.00135985734463391	0	0	0.0109977957441281	0.00948810534953807	0	0.00135985734463391	0.0090346966363566	0	0	0	0	0.00763520441950836	0	0	-0.315773069002253
AE175	0.00536055473700238	0	0	0	0.00507320021883483	0.00507320021883483	0	0	0.0264704316656305	0	0.00338213347922322	0.00338213347922322	0	0.0277157615114355	0	0.00785307074606754	-1.00188872203432
BB70	0.0147450793926147	0	0	0	0.00381208507017885	0.0105736017619888	0.0102033570088795	0	0.00762417014035769	0	0.0181416323606426	0.00294943162163114	0	0.00294943162163114	0	0.00294943162163114	-0.58861436504745
AE18	0.00180079319810599	0	0	0.00570837938110343	0.00645577608676369	0.00285418969055172	0	0	0.00360158639621198	0	0.00180079319810599	0.0329718683613571	0.00720317279242395	0.0248322818606906	0	0.00570837938110343	-1.17353545905891
BWd01	0.0123538419331288	0	0.00328274827036511	0.00328274827036511	0.00668933427887889	0.00103559177862929	0	0.00497845723423591	0.0122342546761497	0	0.00414236711451717	0.013344518628948	0.0136696309580777	0.00480913929126745	0.00267696591381184	0.00621355067177575	0.781128523401269
BB46	0.00767518654344873	0.00778104944822818	0.00408213952677957	0	0.0141310036672839	0.0133813266767247	0.00278649372773582	0	0.00175808180096877	0	0.00658564529209438	0.00175808180096877	0.00175808180096877	0.0101641032972017	0.000879040900484387	0.00278649372773582	1.60035996246302
BB97	0.00846449732153731	0.00748454737777176	0	0.0141666708979543	0.00922460555038309	0.00236111181632572	0.0244135420208464	0	0.0122067710104232	0	0.00922460555038309	0	0	0	0	0	-1.80130962002912
WiW48	0.0180098292324711	0.00263836119458115	0.00263836119458115	0.00263836119458115	0.00612608498215855	0.0153121649362412	0	0	0.0218107688128551	0	0.0020908517783845	0.00612608498215855	0.00418170355676899	0.0100451774803543	0.00263836119458115	0.00527672238916229	-0.207754755884731
WYT33	0.0130230343857763	0	0.00399424123108874	0	0.00679455083996663	0.00325716343336226	0	0.00126004281781789	0.0162783208364994	0.00126004281781789	0.00492284943499676	0.01030075639243	0	0.00871806392959206	0.00479743022442226	0.00252008563563577	-0.0382725006625723
BCW04	0.012141851014102	0.0241417816982617	0.00261460530169669	0.0150467593738246	0.00522921060339337	0.00468663098038468	0.0128295821661236	0	0.00607092550705099	0	0.00130730265084834	0.0147564563157987	0.00414405135737598	0.00784381590509006	0	0.00828810271475195	-0.174944490361543
WYT13	0.0162054274425751	0.00404924057759411	0.00451802837745673	0	0.00451802837745673	0.00537067916659722	0.00225901418872836	0.00488164844450715	0.0178345053447374	0	0.00112950709436418	0.00524526851155757	0.00225901418872836	0.0139829015042492	0.00517874767195829	0.0122580090726687	0.398649479563706
AE61	0.0142359611683404	0.00306694491111242	0.00564797669486873	0	0.00634434837052028	0.00807586889815202	0	0	0.0117059063159285	0.00109246781980262	0.00109246781980262	0.0111157788770152	0.0034630410552635	0.0034630410552635	0.00391645616723699	0.00692608211052699	0.541642103356881
PH08	0.00975351600177874	0	0.00287656647451585	0.0109521095253738	0.0127041976439161	0.0119627951397357	0.00667918051398945	0.00143828323725793	0.00743581646745514	0	0.00287656647451585	0.00287656647451585	0.00287656647451585	0.00862969942354756	0.00403777152542899	0.00287656647451585	-0.506789391389113
BB80	0.00624955038172561	0	0	0.0031247751908628	0.0150954422497698	0.0133535618835898	0.00624955038172561	0	0.0031247751908628	0	0	0.019920565055845	0.00495265150070134	0.00495265150070134	0.0015623875954314	0.0031247751908628	-0.76987834333905
AE102	0.0191714347926286	0	0.0027162039753738	0.0097374893960248	0.0048687446980124	0.00922750969326149	0	0	0.00902303429723897	0.0021525407226386	0	0.0097374893960248	0.0027162039753738	0.0027162039753738	0	0.0043050814452772	-0.311245255967341
WYM11	0.0143831058775901	0.00282308284469354	0.00564616568938709	0.00436847009410149	0.00436847009410149	0.0112665918384412	0.00218423504705075	0.00581217093136849	0.00783040073643783	0	0.00218423504705075	0.00755621178430307	0.0169963185999893	0.013562905664234	0.00109211752352537	0.00436847009410149	0.543040744412505
WEL02	0.00490746267957317	0.0031626960435586	0.00131577389014786	0.00340122616546022	0.00813131788011931	0.00461992410769879	0	0.00257029231868296	0.00263154778029572	0.00257029231868296	0.00481700090639643	0.00369384430682148	0	0.00537817688346679	0.00197366083522179	0.00486894196319616	3.42208630896622
WYC32	0.00577828493622076	0.000687122882037713	0.00385799560989396	0	0.011610750134663	0.00912582026922509	0	0	0.00319089984888668	0.00177618688345493	0.00701598592128186	0.00355237376690987	0.00674327361579655	0.00978317461389285	0	0.00523224137396938	3.11399452554466
AE25	0.0113122334325858	0.00361324035061381	0.00381790030787696	0.00676243205524854	0.00481765380081841	0.00361324035061381	0.00381790030787696	0.00190895015393848	0.0136638907543038	0.00311336360414308	0.00572685046181545	0.0161734552189061	0.00381790030787696	0.00676243205524854	0.0147292775607017	0.00381790030787696	0.136346702485171
AE96	0.0134189177340463	0.0116933867226204	0.00313865398446479	0	0.00728772886665897	0.0015693269922324	0	0	0.0141978957573517	0	0.0015693269922324	0.00313865398446479	0.00313865398446479	0.00497464886811574	0.00613118886738735	0.00627730796892959	-0.783360776434353
BW23	0.0125063864837727	0	0.00498128326600893	0	0.0035487378007466	0.00845782189700381	0	0	0.0121015134458898	0.0103881170844269	0.000887184450186651	0.0079126767774514	0.00562461633907504	0.0123598710014135	0.00632498903361335	0.0111526222234865	1.55061609740586
AE11	0.00556353072297723	0.00113382000567862	0.00359412438313613	0.00453528002271449	0.00851248776158402	0.00179706219156807	0	0.00113382000567862	0.00996019473047466	0	0.00756532933912431	0.00636607034733853	0.00453528002271449	0.0214459352840298	0.00532945258791476	0.00586176439449338	0.382606455741602
WYT41	0.0168537901674725	0.0011040678947741	0	0	0.00366763415831323	0.00843933621140057	0	0	0.0153040091630306	0	0.0011040678947741	0.0117515398957229	0	0.0134419445673097	0.0022081357895482	0.0061990208773597	0.495827372358322
AE40	0.00717949273129262	0.00220104290683604	0	0.00440208581367209	0.00440208581367209	0.00872855980134775	0.00440208581367209	0	0.0130550337890234	0	0.00138870345881027	0.0215012039605616	0.00277740691762054	0.00644893915295764	0.00277740691762054	0.00440208581367209	-0.388539860975519
BCW21	0.00513120949800251	0.0559285625576789	0	0.00513120949800251	0.00513120949800251	0.00256560474900126	0.00513120949800251	0.00513120949800251	0.00513120949800251	0	0	0	0.00513120949800251	0.00813277463767821	0	0	-1.96212248045692
WYC30	0.00777249257938347	0.00179838544481524	0.00359677088963047	0	0.00969746516694892	0.00855112047562465	0	0.00285037349187488	0.0157981594442674	0	0.00179838544481524	0.00359677088963047	0.00359677088963047	0.00570074698374977	0.00179838544481524	0.008351443379506	-1.16999373971328
WYT99	0.0119527528324192	0.00143155580124785	0.00180642229781019	0	0.00233476695015295	0.00949611598121541	0	0	0.00705749428701217	0	0.00429466740374355	0.00911230601615172	0.0100339331568384	0.00541926689343058	0.000903211148905096	0.00419438268451647	1.45533875363988
BB38	0.00570676417062603	0.00570676417062603	0	0.00662534802933657	0.0163047390906496	0.0061660560999813	0.0134121504848375	0.00452250360545066	0.00285338208531301	0	0.00142669104265651	0	0	0.00285338208531301	0.00226125180272533	0.00285338208531301	-0.479877756084202
BB14	0.00676982774276049	0.00426248390553444	0.00794076409167479	0.00330565801456091	0.00734602801889248	0.00330565801456091	0	0.00165282900728045	0.0136057886881946	0.00165282900728045	0.00269564800553967	0.00208563799651843	0.00417127599303685	0.00834255198607371	0.00495848702184136	0.00585512609515637	0.749248215783084
WYT92	0.0183391926658494	0	0	0	0.00709729596511652	0.0153571970606187	0.00274560886787971	0.00137280443393986	0.0204806816014729	0	0	0.00435168709723681	0.00274560886787971	0.0182016203244276	0.00274560886787971	0.00274560886787971	-0.348811460741604
