# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_SpCount.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	14	16	19	26	40	44	47	51	62	66	70	73	76	79	81	84	109
SAC11	98	100	103	110	124	128	131	135	146	150	154	157	160	163	165	168	179
WP14	182	184	187	194	208	212	215	219	230	234	238	241	244	247	249	252	104
BB18	266	268	271	278	292	296	299	303	314	318	322	325	328	331	333	336	101
AE146	350	352	355	362	376	380	383	387	398	402	406	409	412	415	417	420	145
AE175	434	436	439	446	460	464	467	471	482	486	490	493	496	499	501	504	113
BB70	518	520	523	530	544	548	551	555	566	570	574	577	580	583	585	588	91
AE18	602	604	607	614	628	632	635	639	650	654	658	661	664	667	669	672	114
BWd01	686	688	691	698	712	716	719	723	734	738	742	745	748	751	753	756	144
BB46	770	772	775	782	796	800	803	807	818	822	826	829	832	835	837	840	147
BB97	854	856	859	866	880	884	887	891	902	906	910	913	916	919	921	924	87
WiW48	938	940	943	950	964	968	971	975	986	990	994	997	1000	1003	1005	1008	124
WYT33	1022	1024	1027	1034	1048	1052	1055	1059	1070	1074	1078	1081	1084	1087	1089	1092	139
BCW04	1106	1108	1111	1118	1132	1136	1139	1143	1154	1158	1162	1165	1168	1171	1173	1176	139
WYT13	1190	1192	1195	1202	1216	1220	1223	1227	1238	1242	1246	1249	1252	1255	1257	1260	135
AE61	1274	1276	1279	1286	1300	1304	1307	1311	1322	1326	1330	1333	1336	1339	1341	1344	156
PH08	1358	1360	1363	1370	1384	1388	1391	1395	1406	1410	1414	1417	1420	1423	1425	1428	127
