# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-90_Network-CorSparCC_Time0.pval0.01_cor0.2_w1-t0-d0_4invasion.tsv
# >> Input file for samples to taxa matrix: 20151016_OTU_remainder.clean.quoteFALSE.csv
# >> Identifiers of the clusters: 
# >> :  2 42 3 22 10 33 13 6 4 18 11 32 37 45 50 55
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: /home/apascual/Nextcloud/Research/Projects/FunctionalGroups/Invasion/functionInk/SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-90_ZscoreMean.dat
# >> Running at date:  (mm,dd,yy) 4, 10, 2020, and time: 20:16:57,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C2	C42	C3	C22	C10	C33	C13	C6	C4	C18	C11	C32	C37	C45	C50	C55	Total 
PH12	-0.859448452976046	-0.667294653865895	-0.562597165321664	0.228632124065004	-0.0698511190851974	-0.883141755404899	-0.538246403882177	-0.449262669668005	-1.04445295395171	-0.31988959567122	0.520083062795313	-0.649134036593566	-0.72940616508042	-0.734255465459729	-0.409600087908029	-0.80496479451536	-1.40254795547043
SAC11	0.429298934782161	1.02797359922183	0.802577898991807	0.809365133093995	1.27042714830257	2.06671104250046	-0.352424052538939	-0.26546892533799	-0.525727543576868	0.511973882501032	-0.129518468450774	-0.395772696178765	-0.10643319058787	-0.782530100266503	-0.210709127744338	0.256419216788338	2.43316358416353
WP14	-0.786972461391233	-0.195082191921171	-0.741660308650314	2.28699345165241	-0.476503901951922	0.22818544202158	-0.271627637353568	-0.248761559101063	-1.2483148372158	-0.504162943356124	0.302794112196288	-0.734097553903585	-0.371307973579752	-0.651819714370195	-0.74960643005559	-0.863024361258241	-1.15941145788046
BB18	-0.902305035805749	0.270119126239265	-0.315211352669285	0.604988640847472	-0.345428659780221	-0.62693395870248	-0.306672614488705	-0.357791251858353	-1.214982858326	-0.332570128790593	-0.35404943918428	-0.851788402567091	-0.530188933993543	-0.997235757064689	-0.74960643005559	-0.512549770010578	-1.82983981448007
AE146	-0.992120276481748	-0.499089181079211	-0.741660308650314	-0.736484443684483	0.530639049686965	0.324850569289285	-0.538246403882177	-0.216709178630221	-0.250913279722573	-0.504162943356124	-0.573259383128462	-0.742022428351776	-0.766781243735689	-0.242667771417903	-0.74960643005559	-0.861373121867965	-0.315773069002253
AE175	-1.33715285252432	-0.667294653865895	-0.435224785472185	-0.612832874284364	-0.509509729212332	-0.646939006286006	-0.538246403882177	-0.47273263264801	0.611779913712702	-0.504162943356124	-0.174943169749696	-0.53144318793006	-0.722771200197862	1.79098902372752	-0.74960643005559	-0.399841128629322	-1.00188872203432
BB70	0.592772210236382	-0.667294653865895	-0.741660308650314	-0.441985923179374	0.179985055890053	0.288849552644923	2.92715717919647	-0.610795484419962	-0.546967365177914	-0.504162943356124	2.03058771672939	-0.616406705240079	-0.695704859289894	-1.08280750316344	-0.74960643005559	-0.591112869874794	-0.58861436504745
AE18	-1.32275448789237	-0.667294653865895	-0.498815902087213	0.252160359851995	-0.456867155716913	-0.813381690271796	-0.19899693432843	-0.47273263264801	-1.21362404297982	-0.232194766876559	-0.384254549862017	1.84627802730111	-0.150183915460789	1.84488019961507	-0.74960643005559	-0.0591939178191745	-1.17353545905891
BWd01	0.485831606150225	-0.667294653865895	0.988085180193308	-0.248074940687501	0.323500172156801	-0.926571175273569	0.178683648940674	1.61731191958748	0.791126873084154	-0.212938499831802	0.201066929585088	1.08776314756607	1.59775884299117	-0.0670336521382033	0.211240080722658	1.02101504340226	0.781128523401269
BB46	0.180373798902879	0.950408351221637	0.700052111130567	-0.676494596168335	2.24381281849891	1.69644290909413	1.24056409110203	-0.484293368139158	-1.12534485488222	-0.320420776969339	1.4863330202574	-0.665252820757386	0.426351970080331	0.994338880846564	-0.409600087908029	-0.114451867591949	1.60035996246302
BB97	-0.99599824510555	0.0700319907044485	-0.741660308650314	0.646490067048364	-0.358094999658981	-0.922231565458501	1.99859261544123	-0.610795484419962	-0.928823576891726	-0.504162943356124	0.197267507188944	-0.977404125678788	-0.574198977531371	-1.14681554595323	-0.74960643005559	-0.863024361258241	-1.80130962002912
WiW48	0.749926008436608	-0.330883708292527	-0.202957551954287	-0.251255603536114	-0.327254713172195	1.20481345636855	-0.306672614488705	-0.287729854916048	1.23330033258552	-0.332570128790593	-0.00950495710620259	-0.355333465749518	-0.186841570312796	0.061706146468589	0.0123491205589679	-0.0164616920891736	-0.207754755884731
WYT33	0.47272105535596	-0.667294653865895	0.0746635658877992	-0.684682896850735	-0.21905390718314	-0.524884363147042	-0.392139610006545	-0.163721353749593	0.457752429750889	1.12290573251651	0.302375064739761	0.879309581130126	-0.766781243735689	0.599668226896788	0.774961099340104	-0.740004904666105	-0.0382725006625723
BCW04	0.194534864035995	3.21455611568607	0.735217563183609	1.43754813030889	-0.482117106089637	-0.506437515799661	2.22745972875051	-0.449262669668005	-0.796205760721001	-0.232194766876559	-0.384254549862017	1.18790821096346	-0.161756574406295	-0.0661539839514284	-0.74960643005559	-0.00797710853358043	-0.174944490361543
WYT13	0.817100125812399	-0.0642843415095601	0.729358272911231	-0.494481964014224	-0.494812018468398	-0.115742190501232	-0.206317258663308	1.4490217996587	0.730831713346329	-0.160977314225063	-0.317959413024528	0.415878429530713	-0.273146009350867	1.23114088265265	1.05513849765665	1.37173210068307	0.398649479563706
AE61	0.528997885869535	-0.195082191921171	0.438977102140181	-0.088116925356809	-0.0665129527909469	0.488827979940618	-0.538246403882177	-0.610795484419962	0.402470761188946	-0.0436221047083987	-0.37603044161388	0.44187580463896	-0.274487364009223	-0.628096249044025	0.599179926868696	0.440673550093953	0.541642103356881
PH08	-0.56701166126091	-0.667294653865895	-0.362362563138433	2.21693678749741	0.622212003580951	0.613973913452971	0.390045983021296	-0.0941263308763853	-0.592208016125034	-0.504162943356124	0.0935584762702467	-0.538513706339823	-0.415318017117579	-0.157482039081675	0.204912048103168	-0.579564848520574	-0.506789391389113
BB80	-0.86460397783879	-0.667294653865895	-0.741660308650314	0.199640092048039	0.864257448301536	0.745987858561982	0.789216578797889	-0.484293368139158	-1.0941577122038	-0.33484654823272	-0.0472579984050882	0.781952803028537	0.0451946752912082	-0.72404100405744	-0.409600087908029	-0.647539602579277	-0.76987834333905
AE102	0.945305618656561	-0.667294653865895	-0.177112170214701	0.871127334565512	-0.589304302059536	0.378204479243768	-0.538246403882177	-0.610795484419962	-0.42218951354835	1.17377145529991	-0.725910781618676	0.126647807108406	-0.281762319234893	-0.865745611262209	-0.74960643005559	0.635124158849814	-0.311245255967341
WYM11	0.824626161435942	-0.232489814296244	0.265776691912207	-0.0182961861390346	-0.462554846654791	1.0843610003585	-0.0131745829851928	1.58360781380934	-0.131335941876777	-0.320420776969339	-0.093297075458688	1.41315197434612	2.58261534771807	1.2184722809198	-0.409600087908029	-0.220676316329489	0.543040744412505
WEL02	-0.341237863472497	0.141328753652196	0.0940703172100528	0.874925355217648	1.58168694325947	0.177690472266477	-0.0144590267374408	0.577712110995207	-0.943761109289461	1.0067378214594	1.05455384108755	0.121014800023091	-0.625950590627332	0.221005090138852	0.270412596387094	0.373983439730066	3.42208630896622
WYC32	-0.00205501885458852	-0.499089181079211	0.844464163283968	-0.570896213480095	2.72798507333285	1.95328083181825	-0.538246403882177	-0.610795484419962	-0.695846597517656	0.488879308705318	1.87750441921845	0.523547863484711	1.18171834465685	1.46141264417352	-0.74960643005559	0.505502462834941	3.11399452554466
AE25	0.0504674992050924	-0.162678235505843	-0.159819699458095	0.433107619275202	-0.467971266631593	-0.534181161712266	0.282370302861021	-0.0610432125470649	0.530022756656252	0.240005706021467	0.332783157411331	0.805535968853397	0.47855153420808	-0.249292563687418	3.95050210922519	-0.353329583240661	0.136346702485171
AE96	0.23641277652611	0.947600120429194	-0.303161369973526	-0.612294483611469	-0.20169586243908	-0.887127890724122	-0.306672614488705	-0.610795484419962	0.440780053917691	-0.320420776969339	-0.375361620906578	-0.457962700408746	-0.479759436680815	-0.7865041415981	0.769026594010666	-0.277380579628604	-0.783360776434353
BW23	1.06847680738054	-0.667294653865895	1.24494754060677	-0.280630519467355	-0.347287754970035	0.917914837996922	-0.538246403882177	-0.235727903601157	0.560744490223188	3.56282404972039	-0.456265488937644	1.08366535375298	0.763825533016637	1.63990209949727	2.02854618679217	1.26475228709006	1.55061609740586
AE11	-0.916757022035133	-0.499089181079211	0.00387789469557899	0.893100025179167	0.35982502241966	-0.51702892866328	-0.538246403882177	-0.216709178630221	0.0465723410463042	-0.332570128790593	1.04191483095698	-0.0149583980490272	0.010285853095909	2.62615605422607	0.930515751314112	-0.111024518851603	0.382606455741602
WYT41	0.954033548771577	-0.499089181079211	-0.498815902087213	-0.594736755907648	-0.444330015305334	0.313786438038043	-0.392139610006545	-0.47273263264801	0.612367487254023	-0.212096597393199	-0.373212339369067	1.38765967541085	-0.317156052888694	1.22099219501279	0.0123491205589679	0.243247656770363	0.495827372358322
AE40	-0.722206241013614	-0.196567376078518	-0.311523671506606	0.38398181120064	-0.413156635299047	0.19236087281015	0.282370302861021	-0.610795484419962	0.170684088020829	-0.31988959567122	-0.441920166360547	1.3410219043113	-0.302429910992022	-0.474863201423842	0.0123491205589679	-0.334635189133999	-0.388539860975519
BCW21	-1.24545291563604	3.99563451310029	-0.599019720106452	-0.490422983311188	-0.783454643314666	-1.0005729005107	0.349023432251759	-0.184697701615248	-1.10523954814738	-0.504162943356124	-0.587604705705559	-0.851788402567091	-0.440643279648685	-0.791964801762619	-0.74960643005559	-0.683596577313499	-1.96212248045692
WYC30	-0.981189246956489	-0.499089181079211	-0.202957551954287	-0.667264379724161	-0.28370161819167	-0.0375821982237272	-0.538246403882177	-0.135947587601005	-0.048883769550365	-0.332570128790593	-0.461083066545335	-0.413752339266554	-0.440643279648685	-0.645579294299504	-0.409600087908029	-0.061070994854987	-1.16999373971328
WYT99	0.589728387883672	-0.400695287082928	-0.445801958517388	-0.562765924336247	-0.303167312692767	1.01579541231395	-0.538246403882177	-0.610795484419962	0.239766723243972	-0.332570128790593	0.44234565667594	1.34604197709386	1.5767439861512	-0.19941091284429	-0.409600087908029	-0.0500518636489106	1.45533875363988
BB38	-0.815820888766568	0.134317609867909	-0.741660308650314	0.3439715565278	1.30764624975558	-0.230130924896116	3.14913417539567	0.121854783708674	-1.25148302470355	-0.504162943356124	0.0828886914945469	-0.851788402567091	-0.766781243735689	-0.692311107087599	-0.210709127744338	-0.547344895675266	-0.479877756084202
BB14	-0.527188309009795	0.0202389658446209	0.818447725799519	0.0512832821184751	0.506636314709688	-0.482701857681717	-0.392139610006545	-0.0342000160126077	0.634168486786138	0.130247129299259	-0.000595201018824792	-0.405827464818364	-0.327513441149583	0.105679092595724	0.996961847196077	0.0334133592541602	0.749248215783084
WYT92	0.607576165805151	-0.667294653865895	-0.498815902087213	-0.0653090415476714	-0.284456676447195	1.22336961414959	-0.206317258663308	-0.346230516367206	0.917528348257726	-0.504162943356124	-0.380848019221571	-0.469668973193624	-0.345090087983547	1.45716094620568	0.0123491205589679	-0.511583856887553	-0.348811460741604
WiW56	0.179234773234011	-0.667294653865895	0.107555678728757	-0.236599278831753	-0.509830061053695	2.11271010789196	-0.392139610006545	-0.41029437385302	0.835065761135477	-0.504162943356124	-0.404774018262387	-0.490790982128383	0.0946688790514424	-0.0517003169832804	-0.210709127744338	-0.468781795811051	-0.173831350764613
AE47	0.908627493149063	-0.667294653865895	-0.202957551954287	0.428307583058006	-0.0544863865524535	-0.470175210553123	0.225148879578586	-0.196258437106396	-0.013009546240651	1.26072393122645	-0.37603044161388	1.59574889537655	0.561533836862557	1.25168509276564	0.469303556550784	0.079254340837942	0.933914045125767
