# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0.txt
# >> Input file 2: "Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0.txt
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 3, 30, 2021, and time: 0:31:51,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
1	0.932574705516157	0.0496575342465753	0.0015220700152207	0.0481354642313546	1	34	1	37	2	70	0	0	34	37	2	36	0	0	34	37	1	69	citrobacter.werkmanii	klebsiella.pneumoniae	1	656	657
2	0.917237571546776	0.0710436463861121	0.0045662100456621	0.06647743634045	1	36	2	70	3	104	0	2	36	36	3	37	0	1	36	69	3	101	pantoea.agglomerans	citrobacter.werkmanii	3	654	657
3	0.91525266907966	0.110092615052464	0.0060882800608828	0.104004334991581	1	28	1	29	2	56	0	0	28	29	2	29	0	0	28	29	1	55	pseudomonas.rhizosphaerae	pseudomonas.vranovensis	4	653	657
4	0.850671488189208	0.137063695722175	0.0076103500761035	0.129453345646071	1	25	1	21	2	45	0	0	25	21	2	25	0	0	25	21	1	44	pantoea.vagens	erwinia.persicina	5	652	657
5	0.824165904523908	0.149450196535695	0.0106544901065449	0.13879570642915	2	56	1	25	3	79	2	0	29	25	3	29	1	0	55	25	3	76	pseudomonas.rhizosphaerae	pseudomonas.lutea	7	650	657
6	0.823539405118858	0.170401042627556	0.0121765601217656	0.158224482505791	1	15	1	18	2	32	0	0	15	18	2	17	0	0	15	18	1	31	acinetobacter.johnsonii	acinetobacter.calcoaceticus	8	649	657
7	0.81802685506806	0.18437641276731	0.0136986301369863	0.170677782630324	1	11	1	11	2	21	0	0	11	11	2	11	0	0	11	11	1	20	serratia.quinivorans	serratia.liquefaciens	9	648	657
8	0.816416862422908	0.19685738689212	0.015220700152207	0.181636686739913	1	10	1	10	2	19	0	0	10	10	2	10	0	0	10	10	1	18	rhizobium.giardinii	rhizobium.leguminosarum	10	647	657
9	0.803904300277553	0.220297265126518	0.0167427701674277	0.203554494959091	1	17	1	21	2	37	0	0	17	21	2	20	0	0	17	21	1	36	pseudomonas.marincola	pseudomonas.plecoglossicida	11	646	657
10	0.79929838659528	0.239751222508558	0.0182648401826484	0.22148638232591	1	17	1	14	2	30	0	0	17	14	2	16	0	0	17	14	1	29	delftia.lacustris	leptothrix.spp.	12	645	657
