# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_AbundCum.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
AE112	1.38629436111989	21.3199802109924	21.3199802109924	23.8048868607804	23.8048868607804	27.1007237267847	28.7101616392188	29.4033088197788	31.600533397115	37.5511759497027	67.9389837513822	67.9389837513822	68.6321309319421	68.6321309319421	69.3252781125021	71.7231733853005	73.1094677464203	75.4120528394144	75.4120528394144	230.286652135017
WYT10	80.3818661389904	151.178091027366	158.644318583581	159.337465764141	159.337465764141	163.991426114299	163.991426114299	173.181563778957	176.647299681757	226.13468991954	248.979650945782	251.282236038777	257.417800929858	257.417800929858	263.928059270381	265.719818739609	267.511578208838	274.458554200973	281.730952593543	277.172987438564
BB67	281.730952593543	336.287305610189	337.385917898857	343.836388321001	344.529535501561	352.554070373167	354.633511914847	357.629244188401	358.727856477069	371.669445899526	418.57265306515	418.57265306515	421.973850446813	425.845051457721	427.23134581884	427.23134581884	432.010469311952	438.740293382441	442.072497892617	270.216057781456
PH04	451.822251345211	501.739708072458	501.739708072458	508.175858440827	510.255299982507	510.948447163067	515.592838062208	525.533139587867	532.908395365877	583.651997987669	615.029427794308	616.821187263536	620.222384645199	620.222384645199	624.499050764215	625.885345125334	626.578492305894	636.964406007675	657.569775300273	308.796433714097
BWd06	659.872360393267	706.810736593643	706.810736593643	707.503883774202	707.503883774202	709.806468867196	711.885910408876	718.262637356775	719.648931717895	761.988927775065	796.803922607537	797.902534896205	799.694294365433	800.792906654101	804.194104035763	804.194104035763	805.803541948198	811.258863063555	817.732753759907	230.520581036809
SAC04	819.524513229136	867.475417876438	872.900367893919	875.672956616159	877.059250977278	879.831839699518	881.218134060638	886.69877298398	888.0850673451	915.307843926641	974.589847082858	981.254256103208	985.731592917686	993.403885373315	996.805082754977	996.805082754977	996.805082754977	1008.94621679935	1023.47011776729	381.257353825533
BB45	1024.16326494785	1068.64642719964	1069.3395743802	1074.75567478241	1074.75567478241	1076.14196914353	1077.52826350465	1083.99751382144	1091.19044804266	1104.24358995102	1174.50869794282	1174.50869794282	1177.840902453	1177.840902453	1179.63266192222	1188.3490337875	1188.3490337875	1198.57460483921	1201.90680934938	325.474528962588
WYC43	1201.90680934938	1226.62100933021	1226.62100933021	1229.91684619622	1229.91684619622	1230.60999337678	1231.70860566545	1236.39073689257	1241.36055019215	1254.07276551354	1294.78609450922	1294.78609450922	1295.47924168978	1295.47924168978	1297.271001159	1305.12654583692	1308.59228173972	1312.75116482308	1318.32711392622	215.03757957377
WP15	1318.32711392622	1362.42843592296	1379.73006480614	1388.48941955471	1388.48941955471	1390.7920046477	1390.7920046477	1392.17829900882	1396.45496512784	1414.17454071033	1479.25588988804	1479.25588988804	1479.9490370686	1479.9490370686	1481.55847498104	1485.34266461496	1491.26155846923	1494.43961229958	1510.14016773083	335.860455603833
WP09	1512.62507438061	1569.57453083478	1572.34711955701	1574.13887902624	1574.13887902624	1574.8320262068	1587.49547306518	1589.98037971497	1593.96936376153	1615.62435994766	1666.52309106642	1666.52309106642	1667.90938542754	1667.90938542754	1669.98882696922	1670.68197414978	1690.2270586252	1692.71196527499	1697.90492212588	279.113930672099
OWW15	1700.67751084812	1767.80364321036	1770.69401496826	1771.38716214882	1771.38716214882	1771.38716214882	1774.15975087106	1779.06502564949	1782.10954808722	1825.72879078742	1854.32062643137	1854.32062643137	1856.1123859006	1856.1123859006	1858.30961047793	1859.4082227666	1860.50683505527	1862.2985945245	1873.77069799495	255.436684285662
WYM32	1879.62290047472	1935.78953804758	1937.73544819664	1940.22035484643	1946.00109836222	1947.09971065089	1948.48600501201	1961.48269631697	1964.66075014732	2008.35763331996	2049.12833719436	2049.82148437492	2058.00012316351	2059.09873545218	2067.78516496084	2070.49321516194	2073.38358691984	2088.51963497591	2099.18008922172	324.21631929136
AE120	2099.87323640228	2134.01759722165	2134.01759722165	2134.71074440221	2134.71074440221	2136.50250387144	2137.195651052	2137.195651052	2138.29426334067	2183.5467819894	2208.26075838164	2208.26075838164	2210.05251785087	2210.05251785087	2210.74566503143	2212.69157518048	2215.82706939641	2216.52021657697	2217.21336375753	203.424797504284
AE55	2217.90651093809	2267.24502363879	2267.93817081935	2271.43467838082	2272.12782556138	2286.59585920246	2286.59585920246	2294.33826122428	2297.73945860594	2345.7153501324	2383.56347226531	2387.14699120376	2398.47296038818	2402.97277005851	2404.35906441963	2406.75695969243	2408.83640123411	2417.99776142386	2432.57728760722	307.670739574915
BB74	2433.27043478778	2458.58058666993	2459.27373385049	2462.45178768084	2462.45178768084	2462.45178768084	2475.31346917778	2477.79837582756	2478.49152300812	2483.86680141581	2516.81246913998	2516.81246913998	2519.45152646959	2520.55013875826	2530.23372748965	2532.79867684711	2532.79867684711	2541.45040093149	2557.06634787182	212.165112717753
WYT04	2557.75949505238	2625.16648411707	2625.85963129763	2630.01851438099	2630.71166156155	2638.32053219074	2638.32053219074	2644.36078690202	2646.15254637125	2682.46425163897	2712.87490421871	2712.87490421871	2717.37471388904	2717.37471388904	2720.26508564694	2721.36369793561	2721.36369793561	2728.20531341209	2736.57632409332	243.508254782242
