# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_RelAbMax.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
AE112	0.0030099320743677	0.0220655618459607	0	0.00601986414873539	0	0.00477062946759064	0.00698884584717695	0.0030099320743677	0.00954125893518129	0.0138004256906937	0.0136156142219255	0	0.0030099320743677	0	0.0030099320743677	0.0104126541880182	0.00601986414873539	0.00698884584717695	0	1
WYT10	0.0129288173843074	0.0259861585469967	0.0131238840889308	0.00250077464967102	0	0.00702056202171082	0	0.0256543618795281	0.00750232394901306	0.0318142050272804	0.0100030985986841	0.00830739356772427	0.00865125889415854	0	0.0120221113210529	0.00396363404248266	0.00396363404248266	0.011754740489434	0.0089651833418247	1
BB67	0	0.0319577951404297	0.00406568098760674	0.0198058478737948	0.00256515910361088	0.0142484041596964	0.00513031820722176	0.00595611499053018	0.00406568098760674	0.0116036561323275	0.0241798688485705	0	0.00852127409414106	0.00513031820722176	0.00256515910361088	0	0.0176863045532874	0.0208396637418778	0.00720131203538287	1
PH04	0.0148478640880795	0.0232861369150065	0	0.00830627908040002	0.00448934705769111	0.00224467352884556	0.00830627908040002	0.0217665263162131	0.0216392026199257	0.0260118293832414	0.0105509526092456	0.00355772336958163	0.00580239689842719	0	0.0102917439561183	0.00224467352884556	0.00224467352884556	0.0181298141680669	0.028369670403727	1
BWd06	0.00698175366900152	0.0288880666955299	0	0.00300687763948186	0	0.00698175366900152	0.00601375527896371	0.0114482503807062	0.00300687763948186	0.0415690624343237	0.0190631532113428	0.00476578830283569	0.00476578830283569	0.00476578830283569	0.00698175366900152	0	0.00698175366900152	0.011126769444729	0.0155453318846351	1
SAC04	0.00288155042163684	0.0212090401785912	0.0142291026338181	0.00545416769228118	0.00181805589742706	0.00545416769228118	0.00363611179485412	0.00710294548794838	0.00181805589742706	0.0127871561670443	0.0190473102219187	0.0102078563444354	0.00628944005600918	0.0164875458307498	0.00422139506631154	0	0	0.0145341814119975	0.0188781548260711	1
BB45	0.002129651075214	0.0237028608610036	0.002129651075214	0.0116957308515158	0	0.002129651075214	0.002129651075214	0.0165009472330936	0.0150252898247035	0.010126251281504	0.0206585518757877	0	0.00597868642826728	0	0.00337541709383468	0.0145246014604594	0	0.0118940213946907	0.00597868642826728	1
WYC43	0	0.0249318848190913	0	0.0102178632297265	0	0.00322337696477911	0.00510893161486327	0.0134412401945056	0.0115556855444215	0.0166646171592847	0.0172694097192921	0	0.00322337696477911	0	0.00833230857964237	0.0174908968150995	0.0161168848238955	0.00644675392955822	0.011151052190744	1
WP15	0	0.0245888502938261	0.0201629439931074	0.0154945501926408	0	0.00479198394922839	0	0.00412759030719326	0.00619138546078989	0.0145606576976428	0.0173464902169149	0	0.00206379515359663	0	0.00479198394922839	0.0112671485159359	0.0102244463353427	0.00533483308121734	0.0194925758645515	1
WP09	0.00496676879502836	0.0303230347607069	0.00496676879502836	0.00393607114493598	0	0.00248338439751418	0.0209670741466846	0.00496676879502836	0.00787214228987195	0.0202515480565861	0.0257679078983792	0	0.00496676879502836	0	0.00496676879502836	0.00248338439751418	0.0261583067110805	0.00393607114493598	0.00970231114792908	1
OWW15	0.00542715454123871	0.0297447407437564	0.00701449548736029	0.00271357727061935	0	0	0.0108543090824774	0.0106016495190398	0.0119188927237978	0.0351861035566038	0.0133152267896591	0	0.00430091821674094	0	0.00860183643348188	0.00430091821674094	0.00430091821674094	0.00430091821674094	0.0232031121236375	1
