# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_RelAbMean.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
AE112	0.00150496603718385	0.00618287986021668	0	0.00269762340408151	0	0.00477062946759064	0.00232961528239232	0.0010033106914559	0.00318041964506043	0.00215334616568038	0.00824727777314441	0	0.0010033106914559	0	0.0010033106914559	0.00260316354700454	0.0020066213829118	0.00333292597384822	0	1
WYT10	0.00448259167091235	0.0182444662196146	0.00897902260150848	0.000625193662417755	0	0.00559693832741557	0	0.0110522286095137	0.0041679577494517	0.0148786114570274	0.00515133194376166	0.00276913118924142	0.00737874320267435	0	0.00782935643751619	0.00161610217303842	0.00215480289738456	0.00835456111883345	0.00374825146448195	1
BB67	0	0.0144213574512421	0.00135522699586891	0.00596788221535039	0.00064128977590272	0.00989891192685982	0.00256515910361088	0.00369547773258398	0.00135522699586891	0.00399112396968264	0.0108485427251049	0	0.00419565169391593	0.00477543913401675	0.00171010606907392	0	0.00589543485109579	0.00830178157649484	0.00176166146322923	1
PH04	0.00789335010716235	0.01154654728518	0	0.00521067414134097	0.00168350514663417	0.000748224509615185	0.00501343322231223	0.0107301557923887	0.00796129204959042	0.0136939196510643	0.00635075133260977	0.00193413229947573	0.00367145580963455	0	0.00461648910856664	0.00112233676442278	0.000748224509615185	0.0112111762182206	0.00953257182815223	1
BWd06	0.00249715782712084	0.0145442161480338	0	0.000751719409870464	0	0.00332954376949446	0.00300687763948186	0.00922076302141603	0.0020045850929879	0.0153059348926454	0.00943923170435731	0.00158859610094523	0.00259088864743918	0.00158859610094523	0.00491813987043969	0	0.00232725122300051	0.00788840789662741	0.00401196944711262	1
SAC04	0.00117490157976597	0.00898360276411032	0.00474303421127269	0.00181805589742706	0.000909027948713529	0.00242407452990275	0.00121203726495137	0.00479172302588554	0.00121203726495137	0.00595021890690286	0.00971817372199216	0.00582669331138122	0.00391453591609678	0.0067078858752013	0.00297366712845848	0	0	0.0106149944147938	0.00544210616424995	1
BB45	0.000532412768803499	0.00976226539876661	0.000709883691737999	0.00416015687884057	0	0.001419767383476	0.001419767383476	0.00662545477564276	0.00736661252125466	0.00334207972944604	0.0134928200479619	0	0.00341266285956509	0	0.00183502272301622	0.00669512595429435	0	0.0104724744352992	0.00146256979695647	1
WYC43	0	0.00820926278155685	0	0.00383169871114745	0	0.0010744589882597	0.00170297720495442	0.00725784959138267	0.00770379036294765	0.00492635416973353	0.0118332017467524	0	0.0010744589882597	0	0.00277743619321412	0.00913275797361358	0.00537229494129851	0.00644675392955822	0.00370430209999208	1
WP15	0	0.00937917630902646	0.0171714458534828	0.00652008490610933	0	0.00228525970094167	0	0.00137586343573109	0.00424448710534377	0.00439656194679471	0.0121109355261673	0	0.000687931717865543	0	0.00159732798307613	0.00281678712898396	0.00587435819005224	0.0031541411294702	0.00667817974029074	1
WP09	0.00222570998499108	0.0145740426081895	0.00331117919668557	0.00160486388561254	0	0.000827794799171393	0.0151233904471465	0.00296761331332145	0.00476386594410737	0.00646539931262384	0.0113973913350083	0	0.00165558959834279	0	0.00248338439751418	0.000620846099378545	0.0233418236875028	0.00296761331332145	0.00265787872684192	1
OWW15	0.00271357727061935	0.0187706936204897	0.00377180456803375	0.000678394317654838	0	0	0.00361810302749247	0.00640116198417389	0.00397296424126594	0.0142302852930012	0.00699582259589863	0	0.00233816516245343	0	0.00286727881116063	0.00107522955418524	0.00143363940558031	0.00233816516245343	0.0064159614697989	1
WYM32	0.00451257550249602	0.012374154060303	0.00200062944940433	0.00191608696257121	0.0044574742015048	0.00112950543952604	0.00142527717723557	0.0133621603146263	0.0032674212053794	0.0112314116051037	0.00785947171851101	0.000712638588617786	0.00840862340146517	0.00112950543952604	0.00893069327668584	0.00208815074995392	0.00297164946766987	0.0155616761150419	0.00469724052892904	1
AE120	0.00085184695900379	0.0119891131543004	0	0.00085184695900379	0	0.00293598992717087	0.00113579594533839	0	0.00180019398183248	0.0185377754678525	0.0075930935828128	0	0.00293598992717087	0	0.00113579594533839	0.00239143675319909	0.00513784332817654	0.00113579594533839	0.000486769690859309	1
AE55	0.000563221563998589	0.0114543862165459	0.000750962085331452	0.00284111154533035	0.000563221563998589	0.0156748018580697	0	0.00838819017207904	0.00368488879417146	0.0129943814808706	0.0076884387399821	0.00388241766009033	0.0122706600786563	0.00487513553888517	0.0015019241706629	0.00194842648679507	0.00225288625599436	0.00992550261405207	0.00676954024826301	1
BB74	0.000816754427343163	0.00852104273141012	0.00108900590312422	0.00374478842166638	0	0	0.0202070317345168	0.0039040453257643	0.00108900590312422	0.00211127956698006	0.00970519708157635	0	0.00414623198540978	0.00172603351951586	0.0152139193344023	0.00302235052290822	0	0.0135927532626965	0.0105146861061572	1
WYT04	0.000711625958203957	0.0197725737778292	0.00094883461093861	0.00426975574922374	0.000711625958203957	0.0104156231253783	0	0.00826837775537826	0.00245270188866265	0.0124265825882707	0.00780534437295972	0	0.00615969490692658	0	0.0039565691663867	0.00112790045829303	0	0.0093653436685281	0.0049109574121736	1
