# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_RelAbMedian.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
AE112	0.00150496603718385	0.00477062946759064	0	0.00238531473379532	0	0.00477062946759064	0	0	0	0	0.00811525458299677	0	0	0	0	0	0	0.0030099320743677	0	-0.604465346125312
WYT10	0.00250077464967102	0.0194141378476846	0.0113124090659236	0	0	0.00580661891805324	0	0.00500154929934204	0.00250077464967102	0.0145593301919018	0.00613551380510346	0	0.00702056202171082	0	0.0114659579914957	0.00125038732483551	0.00250077464967102	0.0108081682173953	0.00250077464967102	0.0464229071154674
BB67	0	0.0125199660046345	0	0.00203284049380337	0	0.0094922166303529	0.00256515910361088	0.00513031820722176	0	0.00384773865541632	0.00848389158718831	0	0.00406568098760674	0.00513031820722176	0.00256515910361088	0	0	0.00406568098760674	0	-0.0501549926738444
PH04	0.00575678290504672	0.0106642612021753	0	0.00514587197805915	0.00112233676442278	0	0.00448934705769111	0.00521197053047645	0.00224467352884556	0.014506200461806	0.00692473366284997	0.00224467352884556	0.00521197053047645	0	0.00355772336958163	0.00112233676442278	0	0.00804707042727274	0.00580239689842719	0.485427780805787
BWd06	0.00150343881974093	0.0128842536011393	0	0	0	0.00300687763948186	0.00300687763948186	0.0114482503807062	0.00300687763948186	0.0148876151547548	0.00950463211346447	0	0.00300687763948186	0	0.00476578830283569	0	0	0.00953157660567138	0	-0.601217884508113
SAC04	0.000909027948713529	0.00718758453882831	0	0.000909027948713529	0.000909027948713529	0.00181805589742706	0	0.00545416769228118	0.00181805589742706	0.00576310084327368	0.0110052040757238	0.00363611179485412	0.00363611179485412	0.00363611179485412	0.00288155042163684	0	0	0.0122068736601661	0.00181805589742706	1.4913490458014
BB45	0	0.0079775165009719	0	0.00247244833192323	0	0.002129651075214	0.002129651075214	0.00337541709383468	0.00707454773906046	0.00337541709383468	0.0156584728981897	0	0.00425930215042799	0	0.002129651075214	0.00612795117835901	0	0.00988979332769292	0	0.716957419737761
WYC43	0	0.00790837905728787	0	0.00255446580743163	0	0	0	0.00510893161486327	0.0115556855444215	0.00416615428982119	0.0115556855444215	0	0	0	0	0.00952006753967742	0	0.00644675392955822	0.00322337696477911	-0.816156921904776
WP15	0	0.00685577910282502	0.0201526946644545	0.00529289471589826	0	0.00206379515359663	0	0	0.00327103792762072	0.00445978712821082	0.0159217023669132	0	0	0	0	0	0.00412759030719326	0.00412759030719326	0.00479198394922839	0.861137543990189
WP09	0.00196803557246799	0.0132780193326376	0.00496676879502836	0.00124169219875709	0	0	0.0194363283997265	0.00393607114493598	0.00641945554245016	0.00393607114493598	0.0107816066364076	0	0	0	0.00248338439751418	0	0.0239583477319249	0.00248338439751418	0.00248338439751418	0.0733675839117266
