# >> Output from SampleProps2TaxaClusters.pl <<
# >> Input file for the list of clusters: Clusters-NL_Average_StopStep-91_Network_BasisCor_SparCC_GT0.2_pval0.01_FunGroups_Time0_Paenibacillus.txt
# >> Input file for samples to taxa matrix: composition_otu_matched.csv
# >> Identifiers of the clusters: 
# >> :  1 2 3 5 8 13 14 16 17 18 20 22 23 24 27 28 35 39 45
# >> Labels of the clusters: 
# >> :  Yellow Red Green Orange LightGreen OliveBrown Pink Black
# >> This output file: SamplePropsOFtaxaClus_Time0_NL_Average_StopStep-91_SpCount.dat
# >> Running at date:  (mm,dd,yy) 4, 3, 2021, and time: 1:6:13,
# >> Theoretical biology, ETH-Zürich, A.P-G.
#WARNING: Abundances values are LOG-transformed 
# 
Sample	C1	C2	C3	C5	C8	C13	C14	C16	C17	C18	C20	C22	C23	C24	C27	C28	C35	C39	C45	Total 
AE112	4	18	21	25	29	32	35	38	41	53	69	72	75	78	81	85	88	91	98	135
WYT10	102	116	119	123	127	130	133	136	139	151	167	170	173	176	179	183	186	189	196	130
BB67	200	214	217	221	225	228	231	234	237	249	265	268	271	274	277	281	284	287	294	109
PH04	298	312	315	319	323	326	329	332	335	347	363	366	369	372	375	379	382	385	392	145
BWd06	396	410	413	417	421	424	427	430	433	445	461	464	467	470	473	477	480	483	490	112
SAC04	494	508	511	515	519	522	525	528	531	543	559	562	565	568	571	575	578	581	588	150
BB45	592	606	609	613	617	620	623	626	629	641	657	660	663	666	669	673	676	679	686	137
WYC43	690	704	707	711	715	718	721	724	727	739	755	758	761	764	767	771	774	777	784	115
WP15	788	802	805	809	813	816	819	822	825	837	853	856	859	862	865	869	872	875	882	121
WP09	886	900	903	907	911	914	917	920	923	935	951	954	957	960	963	967	970	973	980	110
OWW15	984	998	1001	1005	1009	1012	1015	1018	1021	1033	1049	1052	1055	1058	1061	1065	1068	1071	1078	120
WYM32	1082	1096	1099	1103	1107	1110	1113	1116	1119	1131	1147	1150	1153	1156	1159	1163	1166	1169	1176	145
AE120	1180	1194	1197	1201	1205	1208	1211	1214	1217	1229	1245	1248	1251	1254	1257	1261	1264	1267	1274	111
AE55	1278	1292	1295	1299	1303	1306	1309	1312	1315	1327	1343	1346	1349	1352	1355	1359	1362	1365	1372	142
BB74	1376	1390	1393	1397	1401	1404	1407	1410	1413	1425	1441	1444	1447	1450	1453	1457	1460	1463	1470	113
WYT04	1474	1488	1491	1495	1499	1502	1505	1508	1511	1523	1539	1542	1545	1548	1551	1555	1558	1561	1568	108
HW01	1572	1586	1589	1593	1597	1600	1603	1606	1609	1621	1637	1640	1643	1646	1649	1653	1656	1659	1666	159
WYT76	1670	1684	1687	1691	1695	1698	1701	1704	1707	1719	1735	1738	1741	1744	1747	1751	1754	1757	1764	113
WYC31	1768	1782	1785	1789	1793	1796	1799	1802	1805	1817	1833	1836	1839	1842	1845	1849	1852	1855	1862	151
WYM18	1866	1880	1883	1887	1891	1894	1897	1900	1903	1915	1931	1934	1937	1940	1943	1947	1950	1953	1960	121
AE109	1964	1978	1981	1985	1989	1992	1995	1998	2001	2013	2029	2032	2035	2038	2041	2045	2048	2051	2058	175
WYT34	2062	2076	2079	2083	2087	2090	2093	2096	2099	2111	2127	2130	2133	2136	2139	2143	2146	2149	2156	129
HW11	2160	2174	2177	2181	2185	2188	2191	2194	2197	2209	2225	2228	2231	2234	2237	2241	2244	2247	2254	134
WYT50	2258	2272	2275	2279	2283	2286	2289	2292	2295	2307	2323	2326	2329	2332	2335	2339	2342	2345	2352	123
WYT80	2356	2370	2373	2377	2381	2384	2387	2390	2393	2405	2421	2424	2427	2430	2433	2437	2440	2443	2450	110
BB33	2454	2468	2471	2475	2479	2482	2485	2488	2491	2503	2519	2522	2525	2528	2531	2535	2538	2541	2548	120
BB75	2552	2566	2569	2573	2577	2580	2583	2586	2589	2601	2617	2620	2623	2626	2629	2633	2636	2639	2646	112
BCW08	2650	2664	2667	2671	2675	2678	2681	2684	2687	2699	2715	2718	2721	2724	2727	2731	2734	2737	2744	94
BB12	2748	2762	2765	2769	2773	2776	2779	2782	2785	2797	2813	2816	2819	2822	2825	2829	2832	2835	2842	200
WYD07	2846	2860	2863	2867	2871	2874	2877	2880	2883	2895	2911	2914	2917	2920	2923	2927	2930	2933	2940	146
BB90	2944	2958	2961	2965	2969	2972	2975	2978	2981	2993	3009	3012	3015	3018	3021	3025	3028	3031	3038	92
PH24	3042	3056	3059	3063	3067	3070	3073	3076	3079	3091	3107	3110	3113	3116	3119	3123	3126	3129	3136	140
WYT96	3140	3154	3157	3161	3165	3168	3171	3174	3177	3189	3205	3208	3211	3214	3217	3221	3224	3227	3234	126
PH01	3238	3252	3255	3259	3263	3266	3269	3272	3275	3287	3303	3306	3309	3312	3315	3319	3322	3325	3332	150
AE86	3336	3350	3353	3357	3361	3364	3367	3370	3373	3385	3401	3404	3407	3410	3413	3417	3420	3423	3430	109
HW15	3434	3448	3451	3455	3459	3462	3465	3468	3471	3483	3499	3502	3505	3508	3511	3515	3518	3521	3528	196
WYM44	3532	3546	3549	3553	3557	3560	3563	3566	3569	3581	3597	3600	3603	3606	3609	3613	3616	3619	3626	104
WYM17	3630	3644	3647	3651	3655	3658	3661	3664	3667	3679	3695	3698	3701	3704	3707	3711	3714	3717	3724	114
WiW05	3728	3742	3745	3749	3753	3756	3759	3762	3765	3777	3793	3796	3799	3802	3805	3809	3812	3815	3822	127
BCW11	3826	3840	3843	3847	3851	3854	3857	3860	3863	3875	3891	3894	3897	3900	3903	3907	3910	3913	3920	143
AE167	3924	3938	3941	3945	3949	3952	3955	3958	3961	3973	3989	3992	3995	3998	4001	4005	4008	4011	4018	95
WYT73	4022	4036	4039	4043	4047	4050	4053	4056	4059	4071	4087	4090	4093	4096	4099	4103	4106	4109	4116	132
WiW48	4120	4134	4137	4141	4145	4148	4151	4154	4157	4169	4185	4188	4191	4194	4197	4201	4204	4207	4214	119
HW14	4218	4232	4235	4239	4243	4246	4249	4252	4255	4267	4283	4286	4289	4292	4295	4299	4302	4305	4312	173
BB02	4316	4330	4333	4337	4341	4344	4347	4350	4353	4365	4381	4384	4387	4390	4393	4397	4400	4403	4410	231
AE135	4414	4428	4431	4435	4439	4442	4445	4448	4451	4463	4479	4482	4485	4488	4491	4495	4498	4501	4508	128
WGP18	4512	4526	4529	4533	4537	4540	4543	4546	4549	4561	4577	4580	4583	4586	4589	4593	4596	4599	4606	136
WGP01	4610	4624	4627	4631	4635	4638	4641	4644	4647	4659	4675	4678	4681	4684	4687	4691	4694	4697	4704	130
BB20	4708	4722	4725	4729	4733	4736	4739	4742	4745	4757	4773	4776	4779	4782	4785	4789	4792	4795	4802	102
WYT14	4806	4820	4823	4827	4831	4834	4837	4840	4843	4855	4871	4874	4877	4880	4883	4887	4890	4893	4900	138
AE147	4904	4918	4921	4925	4929	4932	4935	4938	4941	4953	4969	4972	4975	4978	4981	4985	4988	4991	4998	161
WYT08	5002	5016	5019	5023	5027	5030	5033	5036	5039	5051	5067	5070	5073	5076	5079	5083	5086	5089	5096	97
WiW25	5100	5114	5117	5121	5125	5128	5131	5134	5137	5149	5165	5168	5171	5174	5177	5181	5184	5187	5194	133
SAC03	5198	5212	5215	5219	5223	5226	5229	5232	5235	5247	5263	5266	5269	5272	5275	5279	5282	5285	5292	150
WYM06	5296	5310	5313	5317	5321	5324	5327	5330	5333	5345	5361	5364	5367	5370	5373	5377	5380	5383	5390	173
BCW25	5394	5408	5411	5415	5419	5422	5425	5428	5431	5443	5459	5462	5465	5468	5471	5475	5478	5481	5488	147
WYT39	5492	5506	5509	5513	5517	5520	5523	5526	5529	5541	5557	5560	5563	5566	5569	5573	5576	5579	5586	125
WYT62	5590	5604	5607	5611	5615	5618	5621	5624	5627	5639	5655	5658	5661	5664	5667	5671	5674	5677	5684	109
WYM09	5688	5702	5705	5709	5713	5716	5719	5722	5725	5737	5753	5756	5759	5762	5765	5769	5772	5775	5782	127
LW05	5786	5800	5803	5807	5811	5814	5817	5820	5823	5835	5851	5854	5857	5860	5863	5867	5870	5873	5880	126
